ID,architecture,seed,control,fold,parameters,TierA,TierB,BioMask_provenance,gate,rank_or_bottleneck,ROI_precision,ROI_recall,ROI_f1,pooled_precision,pooled_recall,pooled_f1,Accuracy,BalancedAccuracy,semantic_precision,semantic_recall,semantic_f1,NLL,ECE15,train_f1,gap,tail_f1,zero_recall_classes,runtime_seconds,decision
A0_real_17,A0,17,real,combined_OOF,15370,False,False,none,none,0,0.07304964539007093,0.08120567375886524,0.07510638297872341,0.39123630598355225,0.38743420885674407,0.3820938156322803,0.42333333333333334,0.38843420885674407,0.39123630598355225,0.38843420885674407,0.3828255229493534,1.707814335823059,0.08728231141964593,0.8933693019027543,0.534417720267882,0.36658322353974526,,0.9750472000159789,evaluate prospective rule
A0_real_29,A0,29,real,combined_OOF,15370,False,False,none,none,0,0.07358156028368794,0.0797872340425532,0.07491725768321514,0.40207645953118093,0.4056140083745718,0.39883279456798715,0.41333333333333333,0.4066140083745718,0.40207645953118093,0.4066140083745718,0.3994125047129147,1.7472174167633057,0.12000165566802025,0.8831332141178084,0.4956983609101284,0.3958214327179844,,0.9062899999844376,evaluate prospective rule
A0_real_43,A0,43,real,combined_OOF,15370,False,False,none,none,0,0.07417257683215128,0.08120567375886525,0.07560283687943263,0.39470323643956157,0.4051079177769319,0.39829812300175116,0.41333333333333333,0.40627458444359854,0.39470323643956157,0.40627458444359854,0.3987526684562966,1.7416030168533325,0.08655598700046539,0.8882082157416283,0.5012764881661912,0.40042964509740553,,0.9334875000058673,evaluate prospective rule
A1_real_17,A1,17,real,combined_OOF,15530,True,False,none,none,0,0.07671394799054373,0.0851063829787234,0.07877068557919623,0.42266603954297455,0.40933961426214954,0.40873189799209664,0.44333333333333336,0.41050628092881614,0.42266603954297455,0.41050628092881614,0.4094718557087985,1.645189642906189,0.09869170983632404,0.902361272028629,0.5127220470568131,0.3994876954155099,,0.991383600019617,evaluate prospective rule
A1_real_29,A1,29,real,combined_OOF,15530,True,False,none,none,0,0.07423167848699763,0.08073286052009457,0.07560283687943263,0.4104245064414556,0.4097251617814998,0.40329634674153747,0.42,0.41072516178149987,0.4104245064414556,0.41072516178149987,0.403902407347598,1.6757400035858154,0.11066120455662411,0.8965365590290543,0.5089549317453136,0.40665454082046415,,0.9245757000171579,evaluate prospective rule
A1_real_43,A1,43,real,combined_OOF,15530,True,False,none,none,0,0.07872340425531915,0.08569739952718677,0.0799290780141844,0.41818647848253115,0.4243693059256439,0.419920470325786,0.43666666666666665,0.4257026392589772,0.41818647848253115,0.4257026392589772,0.42045919086450645,1.678267478942871,0.0903764374057452,0.9036908861390197,0.4858480715225478,0.4274058413593297,,0.9205910999735352,evaluate prospective rule
A2_placebo_17,A2,17,placebo,combined_OOF,15812,False,False,none,none,0,0.0726950354609929,0.08120567375886524,0.07486997635933808,0.39123630598355225,0.38743420885674407,0.3820938156322803,0.42333333333333334,0.38843420885674407,0.39123630598355225,0.38843420885674407,0.3828255229493534,1.7075520753860474,0.09605071013172467,0.8950496304925716,0.5360980488576992,0.36658322353974526,,0.996455899963621,evaluate prospective rule
A2_placebo_29,A2,29,placebo,combined_OOF,15812,False,False,none,none,0,0.0725177304964539,0.07907801418439717,0.07397163120567377,0.3973694630962433,0.4014473417079051,0.3941259053938323,0.41,0.4024473417079051,0.39736946309624327,0.4024473417079051,0.39470561553875977,1.7490582466125488,0.11914494067430495,0.8849297197918459,0.5042090674160139,0.3949442397355283,,1.064674900000682,evaluate prospective rule
A2_placebo_43,A2,43,placebo,combined_OOF,15812,False,False,none,none,0,0.07488179669030733,0.08191489361702128,0.07631205673758865,0.39645952464543044,0.4065163684811572,0.40007712414245444,0.4166666666666667,0.4076830351478239,0.3964595246454304,0.4076830351478239,0.40054850461383484,1.741178035736084,0.08747903009255725,0.8887827231319392,0.5000500248402487,0.4013724060401665,,1.0785598999937065,evaluate prospective rule
A2_real_17,A2,17,real,combined_OOF,15812,True,False,none,none,0,0.07304964539007093,0.08191489361702128,0.07534278959810876,0.39311002960841557,0.3888426595609695,0.38400715391739,0.4266666666666667,0.3898426595609694,0.3931100296084155,0.3898426595609694,0.38473886123446316,1.6838372945785522,0.08383311520020166,0.897988300302527,0.5377935050897382,0.3665726955970859,,0.9806084000156261,evaluate prospective rule
A2_real_29,A2,29,real,combined_OOF,15812,True,False,none,none,0,0.07635933806146572,0.0822695035460993,0.0774468085106383,0.4121116024779818,0.4167642431163558,0.4087915746406843,0.4266666666666667,0.4177642431163558,0.4121116024779818,0.4177642431163558,0.4093466162688063,1.7141133546829224,0.12226224298278492,0.8916564810310383,0.49555019674966205,0.4067450481230878,,1.0390258000115864,evaluate prospective rule
A2_real_43,A2,43,real,combined_OOF,15812,True,False,none,none,0,0.07653664302600471,0.08356973995271869,0.0777304964539007,0.40420160249947,0.4120359725923106,0.4069145529012639,0.4266666666666667,0.41320263925897727,0.40420160249947,0.41320263925897727,0.4074037213149606,1.7071071863174438,0.09217835719386737,0.8920989301999205,0.48985704628047877,0.4094581675663604,,0.9904496000090148,evaluate prospective rule
A2_shuffle_17,A2,17,shuffle,combined_OOF,15812,True,False,none,none,0,0.075177304964539,0.08404255319148936,0.07747044917257684,0.39966731144095263,0.3984147316330414,0.39182738207534956,0.43666666666666665,0.3994147316330415,0.39966731144095263,0.3994147316330415,0.39255908939242273,1.708181381225586,0.08864219228426616,0.8917845154702183,0.522564693173774,0.36696969696969695,,0.9926262999942992,evaluate prospective rule
A2_shuffle_29,A2,29,shuffle,combined_OOF,15812,True,False,none,none,0,0.07180851063829788,0.07836879432624114,0.07326241134751774,0.39796532406422375,0.40003889100367973,0.3937388742345225,0.4066666666666667,0.4010388910036797,0.3979653240642237,0.4010388910036797,0.39431858437945,1.7535979747772217,0.1264849768579006,0.8840607390530466,0.5022555909260521,0.38627632254750893,,1.0171810999745503,evaluate prospective rule
A2_shuffle_43,A2,43,shuffle,combined_OOF,15812,True,False,none,none,0,0.07417257683215128,0.08156028368794327,0.07583924349881796,0.3943699031062282,0.4051079177769319,0.3979439692190259,0.41333333333333333,0.40627458444359854,0.39436990310622816,0.40627458444359854,0.39839851467357135,1.7426643371582031,0.08718704928954442,0.8887215634473583,0.5015815816300533,0.40184378651154695,,0.953333899989957,evaluate prospective rule
A3_placebo_17,A3,17,placebo,combined_OOF,15540,False,False,none,A3,0,0.07411347517730496,0.08262411347517731,0.07628841607565012,0.3985541268467055,0.3941369115594468,0.3890138774921384,0.43,0.3953035782261134,0.39855412684670544,0.3953035782261134,0.3898268856222197,1.7085455656051636,0.0897621517876784,0.8968786051388836,0.5290040832214219,0.37529437688504497,,0.9893402999732643,evaluate prospective rule
A3_placebo_29,A3,29,placebo,combined_OOF,15540,False,False,none,A3,0,0.07358156028368794,0.0797872340425532,0.07491725768321514,0.39997286688970257,0.40285579241213043,0.39641774034945987,0.41333333333333333,0.4038557924121305,0.39997286688970257,0.4038557924121305,0.3969974504943874,1.7480688095092773,0.13503134032090502,0.8885207595764341,0.5040370161055783,0.3949442397355283,,0.9958720000286121,evaluate prospective rule
