architecture,control,seed,class,support,positive_ROIs,semantic_P,semantic_R,semantic_F1,one_vs_rest_accuracy,global_conditional_accuracy,dominant_FN,dominant_FP,TP,FP,FN,pooled_P,pooled_R,pooled_F1,ROI_P,ROI_R,ROI_F1,recall_delta_vs_A1,F1_delta_vs_A1
A0,real,29,epithelium,24,24,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.9333333333333333,0.41333333333333333,tumor,tumor,14,10,10,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.09574468085106383,0.09929078014184398,0.09692671394799056,0.0,0.0
A0,real,29,endothelium,24,24,0.35294117647058826,0.25,0.2926829268292683,0.9033333333333333,0.41333333333333333,stroma,histiocyte,6,11,18,0.35294117647058826,0.25,0.2926829268292683,0.03546099290780142,0.0425531914893617,0.037825059101654845,0.04166666666666666,0.03627267041901189
A0,real,29,apoptosis,24,23,0.2857142857142857,0.25,0.26666666666666666,0.89,0.41333333333333333,tumor,tumor,6,15,19,0.2857142857142857,0.24,0.2608695652173913,0.03900709219858156,0.03900709219858156,0.037825059101654845,0.0,-0.006060606060606044
A0,real,43,tumor,71,57,0.5254237288135594,0.43661971830985913,0.47692307692307695,0.7733333333333333,0.41333333333333333,apoptosis,epithelium,31,28,40,0.5254237288135594,0.43661971830985913,0.4769230769230769,0.19858156028368795,0.19148936170212766,0.18912529550827423,-0.04225352112676056,-0.026780626780626704
A0,real,43,lymphocyte,37,32,0.4473684210526316,0.4594594594594595,0.4533333333333333,0.8633333333333333,0.41333333333333333,histiocyte,histiocyte,17,21,20,0.4473684210526316,0.4594594594594595,0.45333333333333337,0.08156028368794327,0.09929078014184398,0.08794326241134752,-0.02702702702702703,-0.014199134199134211
A0,real,43,plasma_cell,24,22,0.3333333333333333,0.2916666666666667,0.3111111111111111,0.8966666666666666,0.41333333333333333,tumor,tumor,7,14,17,0.3333333333333333,0.2916666666666667,0.3111111111111111,0.026004728132387706,0.03546099290780142,0.02931442080378251,0.0,-0.014470284237726116
A0,real,43,histiocyte,24,23,0.18181818181818182,0.16666666666666666,0.17391304347826086,0.8733333333333333,0.41333333333333333,lymphocyte,lymphocyte,4,18,20,0.18181818181818182,0.16666666666666666,0.17391304347826086,0.028368794326241134,0.028368794326241134,0.028368794326241134,0.0,-0.007905138339920958
A0,real,43,melanophage,24,24,0.6206896551724138,0.75,0.6792452830188679,0.9433333333333334,0.41333333333333333,lymphocyte,tumor,18,11,6,0.6206896551724138,0.75,0.679245283018868,0.11702127659574468,0.1276595744680851,0.12056737588652482,0.04166666666666663,0.012578616352201255
A0,real,43,neutrophil,24,24,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.9333333333333333,0.41333333333333333,apoptosis,apoptosis,14,10,10,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.08687943262411348,0.09929078014184398,0.09030732860520094,-0.08333333333333326,-0.08333333333333326
A0,real,43,stroma,24,24,0.25,0.25,0.25,0.88,0.41333333333333333,endothelium,endothelium,6,18,18,0.25,0.25,0.25,0.03900709219858156,0.0425531914893617,0.04018912529550827,-0.041666666666666685,-0.030000000000000027
