group_type,group,n,dice_mean,dice_median,dice_finite_n,iou_mean,iou_median,iou_finite_n,area_relative_error_mean,area_relative_error_median,area_relative_error_finite_n,centroid_error_mean,centroid_error_median,centroid_error_finite_n,occupancy_mean,occupancy_median,occupancy_finite_n,quality_confidence_mean,quality_confidence_median,quality_confidence_finite_n,presence_confidence_mean,presence_confidence_median,presence_confidence_finite_n,area_pearson,major_pearson,minor_pearson,eccentricity_pearson,perimeter_pearson,circularity_pearson,confidence_vs_iou_pearson
by_class,apoptosis,36,0.8349952658458447,0.8777103634246491,36,0.7397904850989061,0.7821801449692856,36,0.23265430725810055,0.17202968600027424,36,1.4246482869925856,0.9400841367835306,36,0.03195529513888888,0.024197048611111112,36,0.7685204810566373,0.8015865981578827,36,0.8871085631350676,0.987007349729538,36,0.8337393380973313,0.7700633227051438,0.7860241923655125,0.7231343320435485,0.7450726951366291,0.49215315197622844,0.7474227394048316
by_class,plasma_cell,36,0.8400992977874187,0.8956821034380136,36,0.7469488494413641,0.8110729140140904,36,0.22331442641848304,0.18890978534693925,36,2.5694233103340993,1.1285566945084438,36,0.05441321855709876,0.05360243055555555,36,0.8391300721300973,0.8512700200080872,36,0.9930496298604541,0.9988352954387665,36,0.5109045111247482,0.4315887023522355,0.7662911411820962,0.6307853741422542,0.5096949519189529,0.3590113540727142,0.48129200615327034
by_class,tumor,110,0.8744606267332594,0.9264218962877752,110,0.8094749846284729,0.8629302835758299,110,0.18210066181191734,0.11962274481176348,110,1.4770039887001303,0.8920714194273922,108,0.0724994081439394,0.06287977430555555,110,0.8166964869607579,0.856624037027359,110,0.93792147541588,0.9982654750347137,110,0.9480960634698304,0.8847401124698265,0.9031295886473005,0.7765522431744759,0.8825505895512986,0.20570655710250435,0.8017116294044835
by_class,endothelium,36,0.8173319462114947,0.857052332230843,36,0.7194588082496876,0.7498717044306709,36,0.27690646224827187,0.20268297821114722,36,2.943410189746886,1.516185785608769,36,0.06042329764660494,0.06477864583333334,36,0.7837201712860001,0.8589304983615875,36,0.8792762524551816,0.9949140846729279,36,0.7766126745645153,0.7524789947490614,0.8188697904160732,0.7765656800575398,0.6979733801639557,0.7232343459621031,0.8214030551235211
by_class,stroma,36,0.8142563489536357,0.9200216677151045,36,0.7386778914917804,0.8518906933541079,36,0.4087115129374122,0.10914039011458918,36,2.245822202713228,0.7220374686403639,35,0.04404176311728395,0.03917100694444445,36,0.7567992491854562,0.7951920032501221,36,0.8909773182951741,0.9887382090091705,36,0.9438440988122445,0.8372389647784163,0.6213416016121462,0.1826108573314658,0.8290207786512092,0.5530218094554659,0.9227084661282808
by_class,lymphocyte,52,0.8983365335418885,0.9431510141305393,52,0.8390489617914471,0.892421295419729,52,0.19976510484542884,0.07257435668931714,52,1.1515780398552817,0.4846367664633911,52,0.036316439636752136,0.037109375,52,0.8503047388333541,0.8671086132526398,52,0.9863444050917258,0.9992154836654663,52,0.7875818343713668,0.6911460820531269,0.888200949767643,0.8076005494234146,0.730698391024842,0.7955112427550455,0.6106143347822192
by_class,melanophage,36,0.8373310722661107,0.9121226754925806,36,0.7619654234543073,0.8384543931527526,36,0.19943400848909984,0.08090692690803103,36,1.5903691935129645,1.1136266473305574,35,0.05740620177469134,0.05886501736111111,36,0.7438243155678114,0.8138220012187958,36,0.8996872804386334,0.9899151623249054,36,0.8585846311089375,0.734393262625988,0.8028294791137874,0.23402362229845908,0.7485430149815837,0.7619890700365836,0.8040569871427704
by_class,neutrophil,36,0.8026609072119862,0.8253552050289714,36,0.6854101316808079,0.7027175134892086,36,0.2895065699866695,0.23606041382002735,36,1.8265966472160915,1.119585609118893,36,0.03470413773148148,0.030978732638888888,36,0.744431814385785,0.7858531773090363,36,0.9660782035854127,0.9952464699745178,36,0.44271743356607707,0.27723638539060125,0.6665871426315857,0.6217348822946106,0.3854120735261535,0.5824637715754183,0.3114194602924268
by_class,histiocyte,36,0.9066321459789829,0.9475515784240617,36,0.8450662525751956,0.9004102444410531,36,0.19547597662289706,0.06235065710872162,36,1.4665289719249297,0.7113937168299389,36,0.05632113233024692,0.05485026041666667,36,0.822505878077613,0.849982500076294,36,0.9592401240434911,0.9974830448627472,36,0.9381993075305789,0.9039889285868243,0.9460989493465894,0.8954128755563417,0.9123302931198592,0.8523137205424439,0.5255772594920357
by_class,epithelium,36,0.8947408985832368,0.9362354141855543,36,0.8219414890436334,0.8801152709890294,36,0.16976575386980264,0.1052319391634981,36,1.0669931125115042,0.7675276151942168,36,0.06182183159722224,0.05745442708333333,36,0.8011922985315323,0.8429493606090546,36,0.927756999929746,0.9960028827190399,36,0.9473283289561238,0.9594289380921573,0.9396606253942792,0.8501215874407799,0.9543331732586924,0.46145956803682225,0.7524664878323216
by_fold,2,144,0.8714200270801538,0.9182995331193464,144,0.796671688098789,0.8489407334438944,144,0.20133700545077743,0.12445668197943714,144,1.5928284417125698,0.8460619337983186,143,0.0604421356577932,0.05343967013888889,144,0.8189465629143847,0.852477490901947,144,0.9428985746991303,0.9985253512859344,144,0.9078147065544532,0.8636262547095265,0.881899538428959,0.7098533082140965,0.8554570012460178,0.7603607883975988,0.6885903768790795
by_fold,3,141,0.8452797446750331,0.9080459770114943,141,0.7682729366467896,0.8315789473684211,141,0.23684158319197574,0.11338289962825279,141,1.8632615614338377,0.9580372520203968,138,0.05309529526201734,0.047309027777777776,141,0.7766508548817737,0.8295267224311829,141,0.909165987989317,0.9963260293006897,141,0.8858856845568416,0.81397290754979,0.8380686875025344,0.5699834477837988,0.7929698851158613,0.35541653311219334,0.769632636061062
