representation,seed,ROI_F1,semantic_F1,NLL,ECE15,parameters
CLS,17,0.07510638297872341,0.3828255229493534,1.707814335823059,0.08728231141964593,15370
CLS,29,0.07491725768321514,0.3994125047129147,1.7472174167633057,0.12000165566802025,15370
CLS,43,0.07560283687943263,0.3987526684562966,1.7416030168533325,0.08655598700046539,15370
A3,17,0.10940222897669707,0.5578480097588405,1.3856940269470215,0.11609196742375692,15370
A3,29,0.11164809186085782,0.5829810550744201,1.3491835594177246,0.11315871899326643,15370
A3,43,0.10293144208037826,0.5328759680416407,1.4028531312942505,0.14325126757224402,15370
