source,epoch,field,recorded_value,status
history_compact.csv,8,train_diagnostics.loss,0.3882622842480536,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,8,val.loss.total,1.0108750282573866,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,8,val.semantic_final.macro_f1,0.4458412724861394,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,8,val.puma.macro_f1,0.2678200751279857,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,8,val.puma_summed.macro_f1,0.4116357731171199,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,9,epoch,9,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,9,phase,semantic_joint_identity,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,9,train_diagnostics.loss,0.3592220959411997,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,9,val.loss.total,1.0327411982817591,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,9,val.semantic_final.macro_f1,0.4447434245145743,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,9,val.puma.macro_f1,0.2634214352100031,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,9,val.puma_summed.macro_f1,0.4054384513205424,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,10,epoch,10,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,10,phase,semantic_joint_identity,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,10,train_diagnostics.loss,0.3258573501592591,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,10,val.loss.total,1.0860789706777736,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,10,val.semantic_final.macro_f1,0.4121361609433573,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,10,val.puma.macro_f1,0.257223947119533,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,10,val.puma_summed.macro_f1,0.3781741702430337,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,11,epoch,11,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,11,phase,semantic_joint_identity,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,11,train_diagnostics.loss,0.2961291157874931,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,11,val.loss.total,1.095424400033335,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,11,val.semantic_final.macro_f1,0.4373679815632496,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,11,val.puma.macro_f1,0.257170778402756,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,11,val.puma_summed.macro_f1,0.4012319238303313,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,12,epoch,12,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,12,phase,semantic_joint_identity,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,12,train_diagnostics.loss,0.2693521475203994,UNRESOLVED HISTORICAL IMPORT
