id,epoch,objective,train_CE,val_CE,train_semantic_F1,val_semantic_F1,ROI_F1,pooled_F1,accuracy,balanced_accuracy,gap,min_class_exposure,min_positive_target_head_gradient,LR
p3_A0_real_s17_cv0,1,2.3856447843404918,1.9891527891159058,2.1259217262268066,0.2898504642276907,0.20191353480827162,0.0472463768115942,0.20191353480827162,0.2826086956521739,0.22737858632595476,0.08793692941941905,13,31.524192962646485,0.001
p3_A0_real_s17_cv0,2,1.8097470907064586,1.5602113008499146,1.889513373374939,0.49629368138620295,0.27554951690821256,0.06391304347826086,0.2755495169082126,0.3804347826086957,0.3032029374134637,0.2207441644779904,10,27.18639497756958,0.001
p3_A0_real_s17_cv0,3,1.5704883887217596,1.391572117805481,1.94240140914917,0.5362865123382365,0.27678405572755416,0.06514492753623188,0.27678405572755416,0.3695652173913043,0.3841763499658236,0.2595024566106824,15,23.050841987133026,0.001
p3_A0_real_s17_cv0,4,1.2775832231228168,1.1870176792144775,1.8599655628204346,0.6579054099468723,0.27166936511764095,0.0589855072463768,0.271669365117641,0.33695652173913043,0.35574710377341956,0.38623604482923135,15,16.876519278476113,0.001
p3_A0_real_s17_cv0,5,1.0878495711546678,1.0834532976150513,1.8222581148147583,0.6818594836507359,0.2742512077294686,0.06079710144927536,0.27425120772946865,0.34782608695652173,0.36591916855074746,0.4076082759212673,14,12.36226863861084,0.001
p3_A0_real_s17_cv0,6,0.9611372993542597,0.8540948033332825,1.709365963935852,0.7839043305814852,0.34486544644439376,0.07166666666666666,0.34486544644439376,0.41304347826086957,0.38635776504197555,0.43903888413709147,17,8.83346898989244,0.001
p3_A0_real_s17_cv0,7,0.7565874411509588,0.7348542809486389,1.756220817565918,0.8201802936290367,0.3771753055789218,0.08289855072463767,0.37717530557892187,0.4673913043478261,0.43545993480204004,0.44300498805011485,9,6.764258993996514,0.001
p3_A0_real_s17_cv0,8,0.739243012208205,0.6944827437400818,1.8177794218063354,0.8224077063263021,0.3407561047525557,0.0731159420289855,0.3407561047525557,0.41304347826086957,0.39097507755402494,0.4816516015737464,12,4.594341844320297,0.001
p3_A0_real_s17_cv0,9,0.5698257570083325,0.5611376166343689,1.7611711025238037,0.8789959512079776,0.3316398357105775,0.06818840579710143,0.33163983571057754,0.40217391304347827,0.35869244790297417,0.5473561154974,17,4.1479753785663185,0.001
p3_A0_real_s17_cv0,10,0.5458911886582007,0.49172908067703247,1.7648316621780396,0.9058134542092502,0.3587187088274045,0.07565217391304348,0.3587187088274045,0.43478260869565216,0.3885875527980791,0.5470947453818458,14,3.8180969953536987,0.001
p3_A0_real_s17_cv1,1,2.2880240510271483,2.055000066757202,2.2988741397857666,0.2792695000797266,0.14023857623857622,0.03020833333333333,0.14023857623857622,0.1651376146788991,0.14314574314574313,0.1390309238411504,10,32.01090321174035,0.001
p3_A0_real_s17_cv1,2,2.0586956552185938,1.6290934085845947,2.0766026973724365,0.4658526146524712,0.19623737373737374,0.0470138888888889,0.1962373737373737,0.27522935779816515,0.2610750360750361,0.2696152409150975,8,27.14650013333275,0.001
p3_A0_real_s17_cv1,3,1.498286067503285,1.4111530780792236,1.8690516948699951,0.608309690532921,0.31132194227528914,0.07076388888888889,0.31132194227528914,0.3761467889908257,0.33263347763347767,0.2969877482576319,12,24.209891183035715,0.001
p3_A0_real_s17_cv1,4,1.290362901088455,1.1977155208587646,1.782472848892212,0.6659949385522601,0.3508756898574342,0.08256944444444443,0.3508756898574343,0.43119266055045874,0.3945382395382395,0.3151192486948259,10,21.338973435488615,0.001
p3_A0_real_s17_cv1,5,1.0730374227643638,1.0237950086593628,1.7398394346237183,0.7179453225238162,0.3529935140165319,0.08083333333333334,0.3529935140165319,0.43119266055045874,0.39343434343434347,0.36495180850728426,14,12.993754186128315,0.001
p3_A0_real_s17_cv1,6,0.899073623861942,0.8998494744300842,1.7591317892074585,0.7605578860403036,0.3214876091366081,0.07145833333333333,0.3214876091366081,0.3853211009174312,0.37593795093795096,0.4390702769036955,13,6.518644372622172,0.001
p3_A0_real_s17_cv1,7,0.7932234668606863,0.803501546382904,1.7646054029464722,0.8174262818575212,0.3268381064800502,0.0729861111111111,0.3268381064800502,0.3944954128440367,0.37284271284271286,0.490588175377471,13,11.153217239379883,0.001
p3_A0_real_s17_cv1,8,0.6662610519618888,0.7043426036834717,1.7544965744018555,0.8425763154330845,0.3301090645901966,0.07375,0.3301090645901966,0.3853211009174312,0.34779581529581527,0.5124672508428879,13,10.772542752717671,0.001
p3_A0_real_s17_cv1,9,0.5923129385678556,0.6352951526641846,1.7209172248840332,0.8439605489883576,0.30833236938500097,0.07430555555555554,0.30833236938500097,0.3853211009174312,0.3467243867243867,0.5356281796033566,15,9.758361968729231,0.001
p3_A0_real_s17_cv1,10,0.532125479263785,0.5691270232200623,1.7264364957809448,0.8792355170520736,0.27801994301994304,0.06944444444444443,0.27801994301994304,0.3669724770642202,0.30386724386724384,0.6012155740321306,13,4.894016592398934,0.001
p3_A0_real_s17_cv2,1,2.419378488218013,2.110246419906616,2.2603046894073486,0.27019116963551154,0.15349113167534223,0.03518743667679837,0.15239223057644108,0.20202020202020202,0.20928571428571424,0.11670003796016931,17,32.27287872632345,0.001
p3_A0_real_s17_cv2,2,1.9691491304938473,1.6608836650848389,2.023024320602417,0.4913494322513749,0.31222728589868554,0.058723404255319155,0.3104091040805037,0.32323232323232326,0.3255952380952381,0.17912214635268936,16,24.532163732192096,0.001
p3_A0_real_s17_cv2,3,1.5908709545040605,1.4425915479660034,1.903883934020996,0.5782631459393792,0.29117231832371443,0.056914893617021275,0.2896571668085629,0.35353535353535354,0.32952380952380955,0.2870908276156648,14,23.124295538122002,0.001
p3_A0_real_s17_cv2,4,1.2959118731579378,1.2036272287368774,1.7759476900100708,0.6620564330222068,0.43802376485303307,0.08312056737588651,0.4361190029482712,0.48484848484848486,0.4601984126984127,0.22403266816917378,15,14.524692016489366,0.001
p3_A0_real_s17_cv2,5,1.1267939132837514,1.030126690864563,1.6939022541046143,0.731119992159744,0.4347474506170158,0.07829787234042553,0.4332768623817217,0.45454545454545453,0.45476190476190476,0.2963725415427282,16,14.73946475982666,0.001
p3_A0_real_s17_cv2,6,1.036339403088413,0.9297767281532288,1.6827428340911865,0.7706677257082755,0.38243185493185494,0.06943262411347517,0.3816965608142079,0.37373737373737376,0.4011507936507936,0.3882358707764205,16,13.884332219759623,0.001
p3_A0_real_s17_cv2,7,0.8759070198927352,0.8452379703521729,1.6810325384140015,0.7834472496348016,0.470347237303759,0.08390070921985815,0.46868057063709234,0.46464646464646464,0.5059920634920634,0.3131000123310426,17,11.277647137641907,0.001
p3_A0_real_s17_cv2,8,0.7293695389334836,0.6794193983078003,1.5941178798675537,0.8291815088326716,0.464895428413889,0.08914893617021277,0.46307724659570715,0.5151515151515151,0.47559523809523807,0.36428608041878263,11,8.735643800099691,0.001
p3_A0_real_s17_cv2,9,0.679016691831807,0.5794040560722351,1.5841407775878906,0.85363506214435,0.4669776552755276,0.08773049645390071,0.46515947345734576,0.5151515151515151,0.4840079365079365,0.38665740686882244,15,10.297683656215668,0.001
p3_A0_real_s17_cv2,10,0.5701988947332202,0.5473440885543823,1.6343252658843994,0.8950589344469393,0.4401160930572695,0.080354609929078,0.4379182908594673,0.47474747474747475,0.46650793650793654,0.4549428413896698,13,9.418408484294497,0.001
p3_A0_real_s29_cv0,1,2.2092053248332095,1.9541364908218384,2.1664862632751465,0.30508587048194813,0.1852834612105712,0.04528985507246377,0.1852834612105712,0.2717391304347826,0.2667919799498747,0.11980240927137692,14,31.21022687639509,0.001
p3_A0_real_s29_cv0,2,1.876018084012545,1.5952600240707397,1.9408385753631592,0.49668174334942006,0.24044390229209966,0.05253623188405797,0.24044390229209966,0.2826086956521739,0.29308126084441877,0.2562378410573204,15,23.99527998531566,0.001
p3_A0_real_s29_cv0,3,1.4533435289676373,1.3258253335952759,1.8193359375,0.6351429134952611,0.2610331384015595,0.055507246376811606,0.2610331384015595,0.32608695652173914,0.31674027726659304,0.3741097750937016,13,16.180480883671688,0.001
p3_A0_real_s29_cv0,4,1.2232977518668542,1.0891625881195068,1.7280727624893188,0.691455902938461,0.33389965297860036,0.0727536231884058,0.33389965297860036,0.42391304347826086,0.372332316806001,0.3575562499598607,11,15.846936080766762,0.001
p3_A0_real_s29_cv0,5,1.1427563795676599,0.978462815284729,1.7769081592559814,0.7282359430315367,0.30028826198902925,0.06376811594202898,0.3002882619890293,0.34782608695652173,0.3372375431585958,0.42794768104250747,14,13.87458324432373,0.001
p3_A0_real_s29_cv0,6,0.871764192214379,0.881000280380249,1.7688254117965698,0.7624049828419167,0.26391327970275336,0.05572463768115941,0.26391327970275336,0.31521739130434784,0.3210633664581033,0.49849170313916336,11,7.392440323318754,0.001
p3_A0_real_s29_cv0,7,0.8389899684832647,0.731934130191803,1.648051381111145,0.8056090453111683,0.33491799905593006,0.0727536231884058,0.3349179990559301,0.40217391304347827,0.371948665369718,0.4706910462552382,13,4.136075850043978,0.001
p3_A0_real_s29_cv0,8,0.6742005256506113,0.6395785212516785,1.6589566469192505,0.8758798002124972,0.35221690590111643,0.07528985507246376,0.3522169059011165,0.42391304347826086,0.39507821126242176,0.5236628943113808,14,4.144979117547765,0.001
p3_A0_real_s29_cv0,9,0.6550733905572158,0.6125660538673401,1.8063524961471558,0.860515667182334,0.3415265567765568,0.06666666666666667,0.34152655677655674,0.3695652173913043,0.3742455351665878,0.5189891104057771,16,3.536419501900673,0.001
p3_A0_real_s29_cv0,10,0.508020607324747,0.5492315292358398,1.8119628429412842,0.8802739925593428,0.32124409359703476,0.06405797101449275,0.32124409359703476,0.358695652173913,0.37292185884291146,0.559029898962308,14,4.749728061258793,0.001
p3_A0_real_s29_cv1,1,2.2446279051416207,1.8609662055969238,2.0888357162475586,0.33048967821392117,0.21686940283359718,0.057638888888888885,0.2168694028335972,0.30275229357798167,0.2537301587301587,0.11362027538032399,15,32.16064980450798,0.001
p3_A0_real_s29_cv1,2,1.7339943054458857,1.6243481636047363,2.12184476852417,0.4546874129768866,0.2403764171625314,0.05131944444444444,0.2403764171625314,0.26605504587155965,0.2956890331890332,0.2143109958143552,14,23.462817933824326,0.001
p3_A0_real_s29_cv1,3,1.5127961111318378,1.3753550052642822,2.0227396488189697,0.6080364594350327,0.288042082330008,0.061875,0.288042082330008,0.3211009174311927,0.35534632034632035,0.3199943771050247,15,22.202475996578443,0.001
p3_A0_real_s29_cv1,4,1.1684056046121407,1.1939882040023804,1.8590757846832275,0.7062536304275435,0.3150799558864074,0.07201388888888888,0.3150799558864075,0.3669724770642202,0.36704545454545456,0.3911736745411361,13,18.095634135332975,0.001
p3_A0_real_s29_cv1,5,1.028522027100568,1.0874074697494507,1.806054949760437,0.7148554882729095,0.33359788359788356,0.08069444444444444,0.33359788359788356,0.4036697247706422,0.38192640692640695,0.3812576046750259,11,15.96459290560554,0.001
p3_A0_real_s29_cv1,6,0.8911347404824501,0.9260644316673279,1.7483543157577515,0.7496514421251264,0.3513133460163528,0.083125,0.3513133460163528,0.43119266055045874,0.400981240981241,0.3983380961087736,10,9.768267320262062,0.001
