family,trial_id,mean_cv_roi_f1,sd_cv_roi_f1,delta_vs_control,mean_generalization_gap,trainable_parameters,class_harm,class_recall_delta,eligible,prototype_config_sha256
optimizer,p6_D_control_optimizer_hpo_002,0.15036058121208068,0.006103183550913066,-0.09101728565305658,0.167879444075299,27866,"[""tumor"",""lymphocyte"",""neutrophil"",""stroma"",""endothelium"",""apoptosis""]","{""tumor"":-0.2721794752943359,""lymphocyte"":-0.254169912706498,""plasma_cell"":0.010052910052910036,""histiocyte"":-0.08333333333333331,""melanophage"":0.09476031215161662,""neutrophil"":-0.15128205128205127,""stroma"":-0.1675946275946276,""epithelium"":0.10364731054386223,""endothelium"":-0.12303030303030305,""apoptosis"":-0.20601449275362327}",False,3247fbc5cd709702d96d881f669f0a5e35bf13dfc74f80446fbb5dd209782d43
regularization,p6_D_selected_optimizer_regularization_hpo_004,0.24078270885583467,0.009758688157610608,-0.008355542713767011,0.46454558701170684,27866,"[""plasma_cell""]","{""tumor"":-0.046301524562394114,""lymphocyte"":0.10238176091834633,""plasma_cell"":-0.10016708437761074,""histiocyte"":-0.09722222222222227,""melanophage"":-0.038461538461538436,""neutrophil"":0.035897435897435936,""stroma"":-0.06715506715506714,""epithelium"":0.019331243469174475,""endothelium"":0.024848484848484786,""apoptosis"":-0.012125603864734213}",False,3af3113c9976398206373d98e3d14ff7162adbec230ef883796b3f759bd02089
regularization,p6_D_selected_optimizer_regularization_hpo_006,0.23847299124792734,0.01665676695652873,-0.010665260321674336,0.4615703655258563,27866,[],"{""tumor"":-0.039243833533256,""lymphocyte"":0.02724010041083208,""plasma_cell"":-0.01492620439988862,""histiocyte"":-0.09722222222222227,""melanophage"":0.011148272017837302,""neutrophil"":0.051282051282051266,""stroma"":-0.03997557997557999,""epithelium"":0.03082549634273768,""endothelium"":0.024848484848484786,""apoptosis"":-0.05439613526570036}",False,ed13743532c794a270cf038303fa685e781cd249489001e19ca8c261181a8cc6
regularization,p6_D_selected_optimizer_regularization_hpo_007,0.23742566794572287,0.015600020972673252,-0.011712583623878808,0.38829002115285255,21618,[],"{""tumor"":-0.027335560106488077,""lymphocyte"":0.035583255095450184,""plasma_cell"":-0.06410470620996933,""histiocyte"":-0.06944444444444453,""melanophage"":0.027313266443701245,""neutrophil"":0.025641025641025605,""stroma"":-0.06551892551892552,""epithelium"":0.02298850574712641,""endothelium"":0.0,""apoptosis"":0.01449275362318847}",False,d7e0792fabf03f73a6a0898b5e4ca33b64d1f99817654ddad1e8f777e1db5607
regularization,p6_D_selected_optimizer_regularization_hpo_005,0.2342958496950077,0.007901100321741171,-0.014842401874593986,0.4463118693320123,18494,"[""plasma_cell"",""histiocyte""]","{""tumor"":-0.01746022381973067,""lymphocyte"":0.03252032520325193,""plasma_cell"":-0.12873851294903926,""histiocyte"":-0.16666666666666669,""melanophage"":-0.07246376811594202,""neutrophil"":0.046153846153846156,""stroma"":0.0107936507936508,""epithelium"":-0.05349057073195018,""endothelium"":0.05333333333333323,""apoptosis"":-0.06657004830917868}",False,62a8d68eb02ba1cf59238c49ead832213e6dd727f86d26b0312545610f80c0f1
regularization,p6_D_selected_optimizer_regularization_hpo_003,0.23250555136273268,0.009263682733108318,-0.016632700206868994,0.4227961868687052,18494,[],"{""tumor"":-0.05531724026208129,""lymphocyte"":0.0,""plasma_cell"":-0.046031746031746035,""histiocyte"":-0.013888888888889006,""melanophage"":-0.03232998885172789,""neutrophil"":0.056410256410256376,""stroma"":-0.044566544566544575,""epithelium"":-0.002363536846295533,""endothelium"":0.0,""apoptosis"":-0.06712560386473426}",False,9e071890bb9dd163953da20897ad698da617e32d839fea7068f62db80342e08c
regularization,p6_D_selected_optimizer_regularization_hpo_008,0.23073964648630355,0.014171439633611642,-0.01839860508329813,0.45199474290789343,18494,"[""plasma_cell""]","{""tumor"":-0.004323385893794662,""lymphocyte"":0.06021986509791383,""plasma_cell"":-0.10016708437761074,""histiocyte"":-0.05555555555555558,""melanophage"":-0.02564102564102555,""neutrophil"":0.17692307692307685,""stroma"":-0.07172161172161173,""epithelium"":-0.07936507936507942,""endothelium"":-0.0018181818181818299,""apoptosis"":-0.09434782608695641}",False,d5a2be5feea7a91ef984b828779dcf5aa30c452504e2af7d21c1736fd246946f
regularization,p6_D_selected_optimizer_regularization_hpo_002,0.22806854374112592,0.011034034459868291,-0.021069707828475753,0.4633562093664631,18494,"[""plasma_cell"",""apoptosis""]","{""tumor"":-0.014273634650013634,""lymphocyte"":0.04790156009668206,""plasma_cell"":-0.11868560289612923,""histiocyte"":-0.08333333333333337,""melanophage"":-0.04013377926421402,""neutrophil"":0.041025641025641046,""stroma"":-0.07172161172161173,""epithelium"":-0.01241478827685727,""endothelium"":0.024848484848484786,""apoptosis"":-0.12157004830917867}",False,1fa2f81e93e577f8a9a459c19efcb90e478980610fdcaa38e3d60bd1c800d9e0
regularization,p6_D_selected_optimizer_regularization_hpo_001,0.2275212902360071,0.011251371657315564,-0.021616961333594586,0.45346243059750524,21618,"[""histiocyte""]","{""tumor"":-0.019845249566210033,""lymphocyte"":-0.004820785308590314,""plasma_cell"":-0.057059314954051865,""histiocyte"":-0.11111111111111116,""melanophage"":-0.02898550724637672,""neutrophil"":0.3205128205128204,""stroma"":-0.06918192918192917,""epithelium"":-0.0036572622779520447,""endothelium"":0.013333333333333308,""apoptosis"":-0.08277777777777767}",False,09f4f801f9e53f5c41e7b91a4df80a473cf0f7e7a64e3fc26bc7eb55b5efa850
regularization,p6_D_selected_optimizer_regularization_hpo_000,0.22468972483349522,0.007724176443874212,-0.024448526736106452,0.46144009408514225,18494,[],"{""tumor"":-0.038358929987742485,""lymphocyte"":-0.0208678745264112,""plasma_cell"":-0.08209412419938739,""histiocyte"":-0.05555555555555558,""melanophage"":-0.0016722408026754731,""neutrophil"":0.22307692307692306,""stroma"":-0.0825152625152625,""epithelium"":-0.06622879036672147,""endothelium"":0.038181818181818095,""apoptosis"":-0.06763285024154592}",False,3cb0b50ae052752958712de7091bf038d5ebb2490aa23e0d8cd0b97dcd4a6d88
