prompt,run_id,seed,fold,epoch,split,true_class,predicted_class,count
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,histiocyte,neutrophil,0
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,histiocyte,stroma,2
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,histiocyte,epithelium,0
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,histiocyte,endothelium,0
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,histiocyte,apoptosis,0
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,melanophage,tumor,0
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,melanophage,lymphocyte,0
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,melanophage,plasma_cell,0
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,melanophage,histiocyte,0
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,melanophage,melanophage,3
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,melanophage,neutrophil,0
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,melanophage,stroma,0
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,melanophage,epithelium,0
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,melanophage,endothelium,0
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,melanophage,apoptosis,0
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,neutrophil,tumor,0
