epoch,learning_rate,train_total,train_heatmap,train_offset,train_quality,train_uncertainty,train_coarse_type,early_stopping_triggered,best_validation_epoch,best_validation_binary_f1,validation_binary_precision,validation_binary_recall,validation_binary_f1,validation_true_positive,validation_false_positive,validation_false_negative,validation_mean_localization_error,validation_improved,fold
5,0.0002991062726990371,1.2918372968348062,1.5785184022856922,1.2118780525719248,0.30767022036924596,-1.7090791827294884,1.6281325511816072,False,5.0,0.280380926862489,0.17980697634457873,0.6362807195338231,0.280380926862489,12557.0,57279.0,7178.0,6.427759528853117,True,0
10,0.0002890806579231954,1.0984272353532838,1.3426706340254806,1.025039991954478,0.2849339835527467,-1.8469954307486371,1.473044630957813,False,10.0,0.5350505470156488,0.3681372081943783,0.9788700278692678,0.5350505470156488,19318.0,33157.0,417.0,3.1202621989176627,True,0
15,0.00026863049254806994,0.958147982998592,1.1610986423201677,0.8952929086801482,0.2735305284944976,-1.9048680401429898,1.3991927126558816,False,15.0,0.6930742939377585,0.5372751359643007,0.976133772485432,0.6930742939377585,19264.0,16591.0,471.0,3.066886680070744,True,0
20,0.000239299684220996,0.9003957539069943,1.0920015987826557,0.8399180973448405,0.26676059823210646,-1.9447998840634415,1.342131198179431,False,20.0,0.7824967298888162,0.6557393895796938,0.9700025335697998,0.7824967298888162,19143.0,10050.0,592.0,2.915959496760402,True,0
25,0.00020330259446169898,0.8617484874841643,1.0482392063954982,0.8060955376159854,0.26165858565307243,-1.9709697016855565,1.2772467863268968,False,25.0,0.8224675742308929,0.7128205128205128,0.9719787180136813,0.8224675742308929,19182.0,7728.0,553.0,2.7109828897666515,True,0
30,0.00016335686301253492,0.8299400748276129,1.0113555054839065,0.7841143266456884,0.25938167659247796,-1.9818805587000963,1.2069128940745097,False,30.0,0.8347559924124849,0.7263758112315715,0.981150240689131,0.8347559924124849,19363.0,7294.0,372.0,2.504282138050018,True,0
35,0.0001224782366477467,0.8027976278851672,0.980085073447809,0.7617622991887535,0.25623972405020784,-1.9958154021239862,1.1590922336752822,False,35.0,0.8355136178425906,0.7242981966908347,0.9870787940207753,0.8355136178425906,19480.0,7415.0,255.0,2.3420006973297935,True,0
40,8.375289206563755e-05,0.782419873446953,0.9568558873199835,0.746382565033145,0.2533546433579631,-2.0073540661393143,1.117902432273074,False,35.0,0.8355136178425906,0.7136653895274585,0.9910311629085381,0.829783623249894,19558.0,7847.0,177.0,2.2291062254885707,False,0
45,5.010444159644019e-05,0.7628512106290678,0.9354546070098877,0.7336989735684744,0.25201742460088034,-2.013204730138546,1.0628640608089726,False,35.0,0.8355136178425906,0.7070477427736278,0.9928046617684317,0.8259073473000885,19593.0,8118.0,142.0,2.149661757512449,False,0
50,2.407321188531556e-05,0.7542843273500117,0.9267229495978937,0.7288830709166643,0.2511215308090536,-2.017318615099279,1.032782191183509,True,35.0,0.8355136178425906,0.7082430284640948,0.9935140613123892,0.8269680929585187,19607.0,8077.0,128.0,2.1107365412733254,False,0
5,0.0002991062726990371,1.296983127186938,1.5749356950201638,1.224645585548587,0.2997325698776943,-1.6483270569545467,1.6699377167515639,False,5.0,0.3478848614841117,0.21206161554012481,0.9676626892610047,0.3478848614841117,19301.0,71715.0,645.0,3.663196452843279,True,1
10,0.0002890806579231954,1.0903758755544337,1.3273058955262347,1.0149293541908264,0.2837157013212762,-1.8518239623162804,1.5120564044975653,False,10.0,0.5589888042095028,0.3910103818687364,0.979995989170761,0.5589888042095028,19547.0,30444.0,399.0,3.1530840405297167,True,1
15,0.00026863049254806994,0.9577359397236894,1.1575378819209774,0.8917965692717854,0.27394434955061936,-1.9103797790480823,1.4304124422189666,False,15.0,0.7058073912251958,0.5541104504916533,0.9718740599618971,0.7058073912251958,19385.0,15599.0,561.0,3.0625883427605913,True,1
20,0.000239299684220996,0.8973305000037681,1.084599568349559,0.8366462828182593,0.2677551513401473,-1.9428770164164102,1.363453431827266,False,20.0,0.7762454264002252,0.6479393207141898,0.9679133660884388,0.7762454264002252,19306.0,10490.0,640.0,2.95389305153474,True,1
25,0.00020330259446169898,0.8519513977736961,1.0336821355470798,0.8003417646012655,0.2617035704415019,-1.9725598343988744,1.2731959340049,False,25.0,0.8064060487723818,0.6884309831181727,0.9731775794645543,0.8064060487723818,19411.0,8785.0,535.0,2.7300961937456534,True,1
30,0.00016335686301253492,0.819995113989202,0.9980856667204601,0.7745036199325468,0.25816198002274443,-1.9904223506043597,1.2072196973533165,False,30.0,0.8184576750026159,0.702431840224146,0.9803970720946555,0.8184576750026159,19555.0,8284.0,391.0,2.4704351196445122,True,1
35,0.0001224782366477467,0.797433078289032,0.9733392879730318,0.7584175016821885,0.25619483284833955,-2.0003549296681475,1.15004489189241,False,35.0,0.8212838825544,0.7037938439513243,0.9858618269327183,0.8212838825544,19664.0,8276.0,282.0,2.283680821939442,True,1
40,8.375289206563755e-05,0.7756961068002189,0.9493295673916979,0.7439869198857284,0.25438867818291594,-2.008653626209352,1.0923760286191615,False,40.0,0.8231660231660232,0.7051020772998677,0.9887195427654668,0.8231660231660232,19721.0,8248.0,225.0,2.172046199264902,True,1
45,5.010444159644019e-05,0.7626166118354332,0.9359624763814415,0.7351479726593669,0.25325028743685746,-2.013995451171224,1.050876671948084,False,45.0,0.8245998455727374,0.7062882064848246,0.9905244159229921,0.8245998455727374,19757.0,8216.0,189.0,2.121645825144648,True,1
50,2.407321188531556e-05,0.7514456183445163,0.9241067977940164,0.7282825984605928,0.2521633245959515,-2.0186816395782845,1.0164598437344157,False,50.0,0.8255306714533197,0.7071696763811908,0.9914769878672416,0.8255306714533197,19776.0,8189.0,170.0,2.0939732462071294,True,1
55,7.624459148207587e-06,0.7444751902324397,0.915401090209077,0.7234913714048339,0.25168445197547357,-2.0209230344469953,1.0051930357770222,False,55.0,0.827506899724011,0.7097410515744925,0.9921287476185702,0.827506899724011,19789.0,8093.0,157.0,2.082866514679083,True,1
60,2e-06,0.7430950519515247,0.9152194188862313,0.7222485331500449,0.2515102126976339,-2.021806801237711,0.9934693807508888,False,60.0,0.828843537414966,0.7114520823601279,0.9926301012734383,0.828843537414966,19799.0,8030.0,147.0,2.073425419361063,True,1
5,0.0002991062726990371,1.291836537965914,1.5745777197000457,1.2290000871914188,0.29555759415393923,-1.7260510572573033,1.61806466230532,False,5.0,0.29654325320231617,0.17576204523107178,0.9479857215706272,0.29654325320231617,18590.0,87178.0,1020.0,3.422332415650005,True,2
10,0.0002890806579231954,1.1100696630594207,1.3547136841750727,1.038303197883978,0.28397351757782263,-1.8585092905091076,1.4981703438409946,False,10.0,0.5005466756911543,0.3360480967527701,0.9805201427842938,0.5005466756911543,19228.0,37990.0,382.0,3.10628914718993,True,2
15,0.00026863049254806994,0.984915076232538,1.196005246988157,0.9201579740861567,0.27364624854994984,-1.9172148312010415,1.4190660802329458,False,15.0,0.6943404456399258,0.5394216649723258,0.9740948495665477,0.6943404456399258,19102.0,16310.0,508.0,3.1019527837501473,True,2
20,0.000239299684220996,0.9096015553648878,1.1038043651638962,0.8500116220334681,0.2671048975572353,-1.948983914968444,1.3452190989401283,False,20.0,0.7509147421017429,0.611260568793236,0.9732789393166752,0.7509147421017429,19086.0,12138.0,524.0,2.926569037151127,True,2
25,0.00020330259446169898,0.8723552379666305,1.0627128089346536,0.820134542337278,0.26385622598776004,-1.9649318267659444,1.2627461065606373,False,25.0,0.772213182265614,0.6370777950876728,0.9801121876593575,0.772213182265614,19220.0,10949.0,390.0,2.6647412795306,True,2
30,0.00016335686301253492,0.8370357817266045,1.0199888690215786,0.7933278461781944,0.26016567138636987,-1.9808898219248143,1.2064309658073797,False,30.0,0.7842412925225298,0.6513925416413784,0.9851606323304436,0.7842412925225298,19319.0,10339.0,291.0,2.453355748211969,True,2
35,0.0001224782366477467,0.8131252999712781,0.9916461735236936,0.7730961245734517,0.2583684674123438,-1.9890612189362689,1.1694700143686154,False,35.0,0.7930674633218064,0.662280851645535,0.9882202957674656,0.7930674633218064,19379.0,9882.0,231.0,2.3172080438937606,True,2
40,8.375289206563755e-05,0.7860372858803447,0.9602989067391652,0.7531703681480594,0.2550793584527039,-2.00290226645586,1.115399801149601,False,40.0,0.7946846570581622,0.6632315304555536,0.9911269760326364,0.7946846570581622,19436.0,9869.0,174.0,2.2326798235886773,True,2
45,5.010444159644019e-05,0.7701590758998219,0.9438282818329043,0.7406373503731518,0.25235610855061835,-2.014093967472635,1.0748445079094027,False,45.0,0.796235294117647,0.6648898001025115,0.9922488526262111,0.796235294117647,19458.0,9807.0,152.0,2.182752382033579,True,2
50,2.407321188531556e-05,0.7574108439247783,0.9286388333250837,0.7322613655067072,0.25234967415652626,-2.0146605416042047,1.0462419943111698,False,50.0,0.800147932033449,0.6700388837273321,0.9929627740948496,0.800147932033449,19472.0,9589.0,138.0,2.1531970542086474,True,2
55,7.624459148207587e-06,0.7509224945452155,0.9211622040446211,0.728453104088946,0.2515915746732456,-2.017894662008053,1.03000705343921,False,55.0,0.8025949953660797,0.6731732596303334,0.993625701172871,0.8025949953660797,19485.0,9460.0,125.0,2.1326753095079147,True,2
60,2e-06,0.7490037287153849,0.9197782895913938,0.7264337895846948,0.2513312799174611,-2.0187972362448527,1.0223332345485687,False,60.0,0.8039013526888815,0.6748251748251748,0.9940336562978073,0.8039013526888815,19493.0,9393.0,117.0,2.1221080457718395,True,2
5,0.0002991062726990371,1.2998996449679863,1.583325966102321,1.2206701112956535,0.3012940280321168,-1.7525838177378585,1.6856370437435988,False,5.0,0.33723342310211807,0.20473023728513987,0.9559005570455952,0.33723342310211807,18533.0,71991.0,855.0,3.7044258922481603,True,3
10,0.0002890806579231954,1.088824056270646,1.3215060553899625,1.0160604897068768,0.2815416149976777,-1.874479129547026,1.536835542539271,False,10.0,0.5309848686701538,0.36463088153155754,0.9764802970909842,0.5309848686701538,18932.0,32989.0,456.0,3.422747014164799,True,3
15,0.00026863049254806994,0.9696429117423732,1.1680059854577227,0.9047763725606407,0.27363125216670153,-1.9160986019343864,1.4684623276315085,False,15.0,0.6679500891265597,0.510350838962737,0.9663709511037756,0.6679500891265597,18736.0,17976.0,652.0,3.3296596973396384,True,3
20,0.000239299684220996,0.8954994424087245,1.0759953725628737,0.8319653774180064,0.26583857125625376,-1.9534055794157632,1.4188957810401917,False,20.0,0.735365949736075,0.5948253887331124,0.9628636269857644,0.735365949736075,18668.0,12716.0,720.0,3.0862226990936192,True,3
25,0.00020330259446169898,0.859370685205227,1.0347325641934464,0.8015949842406482,0.26249345137578683,-1.9692673363336703,1.3531861130784197,False,25.0,0.7741722537390407,0.6450991852030117,0.9678151433876625,0.7741722537390407,18764.0,10323.0,624.0,2.798464565077867,True,3
