training,class,bin,seed_events,unique_nuclei,conditional_accuracy
C_STAGE1TRAIN,endothelium,>15,0,0,
C_STAGE1TRAIN,apoptosis,0–2,6,2,0.8333333333333334
C_STAGE1TRAIN,apoptosis,2–5,6,2,0.0
C_STAGE1TRAIN,apoptosis,5–10,0,0,
C_STAGE1TRAIN,apoptosis,10–15,0,0,
C_STAGE1TRAIN,apoptosis,>15,0,0,
C_STAGE1TRAIN,ALL,0–2,156,52,0.5448717948717948
C_STAGE1TRAIN,ALL,2–5,54,18,0.5740740740740741
C_STAGE1TRAIN,ALL,5–10,15,5,1.0
C_STAGE1TRAIN,ALL,10–15,0,0,
C_STAGE1TRAIN,ALL,>15,0,0,
