prompt,run_id,seed,fold,epoch,split,class_name,support,predicted,precision,recall,f1,TP,FP,FN,dominant_confusion,class_diagnostics
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,stroma,149,44,0.09090909090909091,0.026845637583892617,0.04145077720207254,4,40,145,"[[""endothelium"",56],[""neutrophil"",26],[""epithelium"",18],[""apoptosis"",12],[""histiocyte"",9],[""tumor"",8],[""lymphocyte"",8],[""melanophage"",7],[""plasma_cell"",1]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,epithelium,65,1041,0.03362151777137368,0.5384615384615384,0.06329113924050633,35,1006,30,"[[""tumor"",13],[""neutrophil"",8],[""lymphocyte"",6],[""histiocyte"",1],[""endothelium"",1],[""apoptosis"",1]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,endothelium,85,824,0.04733009708737864,0.4588235294117647,0.0858085808580858,39,785,46,"[[""epithelium"",22],[""neutrophil"",9],[""histiocyte"",6],[""tumor"",3],[""apoptosis"",3],[""plasma_cell"",2],[""lymphocyte"",1]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,apoptosis,97,144,0.06944444444444445,0.10309278350515463,0.08298755186721991,10,134,87,"[[""neutrophil"",50],[""epithelium"",8],[""endothelium"",8],[""tumor"",5],[""lymphocyte"",5],[""histiocyte"",5],[""plasma_cell"",3],[""stroma"",2],[""melanophage"",1]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,tumor,9591,2197,0.9007737824305871,0.206339276404963,0.335765184933831,1979,218,7612,"[[""histiocyte"",1844],[""epithelium"",1774],[""plasma_cell"",1003],[""endothelium"",697],[""lymphocyte"",646],[""stroma"",606],[""apoptosis"",537],[""melanophage"",381],[""neutrophil"",124]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,lymphocyte,3378,2383,0.6269408308854385,0.4422735346358792,0.5186599548689463,1494,889,1884,"[[""plasma_cell"",565],[""histiocyte"",496],[""apoptosis"",311],[""stroma"",208],[""neutrophil"",141],[""tumor"",59],[""epithelium"",46],[""melanophage"",42],[""endothelium"",16]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,plasma_cell,81,1920,0.034375,0.8148148148148148,0.06596701649175413,66,1854,15,"[[""lymphocyte"",5],[""apoptosis"",5],[""histiocyte"",4],[""endothelium"",1]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,histiocyte,1295,3394,0.21272834413671185,0.5575289575289575,0.3079547878012369,722,2672,573,"[[""plasma_cell"",139],[""lymphocyte"",94],[""stroma"",87],[""epithelium"",81],[""endothelium"",60],[""tumor"",52],[""apoptosis"",26],[""melanophage"",23],[""neutrophil"",11]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,melanophage,114,595,0.15294117647058825,0.7982456140350878,0.2566995768688293,91,504,23,"[[""stroma"",5],[""histiocyte"",4],[""epithelium"",4],[""endothelium"",4],[""plasma_cell"",2],[""apoptosis"",2],[""tumor"",1],[""neutrophil"",1]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,neutrophil,49,382,0.06282722513089005,0.4897959183673469,0.11136890951276102,24,358,25,"[[""apoptosis"",14],[""lymphocyte"",4],[""plasma_cell"",4],[""histiocyte"",1],[""stroma"",1],[""epithelium"",1]]",NOT RECORDED IN ORIGINAL RUN
