prompt,run_id,seed,fold,epoch,split,true_class,predicted_class,count
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,neutrophil,lymphocyte,1
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,neutrophil,plasma_cell,2
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,neutrophil,histiocyte,0
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,neutrophil,melanophage,0
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,neutrophil,neutrophil,44
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,neutrophil,stroma,0
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,neutrophil,epithelium,1
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,neutrophil,endothelium,1
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,neutrophil,apoptosis,0
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,stroma,tumor,29
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,stroma,lymphocyte,41
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,stroma,plasma_cell,38
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,stroma,histiocyte,51
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,stroma,melanophage,31
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,stroma,neutrophil,144
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,stroma,stroma,18
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,stroma,epithelium,102
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,stroma,endothelium,132
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,stroma,apoptosis,123
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,epithelium,tumor,43
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,epithelium,lymphocyte,22
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,epithelium,plasma_cell,8
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,epithelium,histiocyte,11
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,epithelium,melanophage,6
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,epithelium,neutrophil,26
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,epithelium,stroma,1
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,epithelium,epithelium,279
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,epithelium,endothelium,35
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,epithelium,apoptosis,8
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,endothelium,tumor,30
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,endothelium,lymphocyte,8
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,endothelium,plasma_cell,11
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,endothelium,histiocyte,32
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,endothelium,melanophage,1
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,endothelium,neutrophil,21
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,endothelium,stroma,3
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,endothelium,epithelium,63
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,endothelium,endothelium,129
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,endothelium,apoptosis,22
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,apoptosis,tumor,7
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,apoptosis,lymphocyte,15
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,apoptosis,plasma_cell,27
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,apoptosis,histiocyte,4
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,apoptosis,melanophage,3
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,apoptosis,neutrophil,145
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,apoptosis,stroma,1
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,apoptosis,epithelium,28
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,apoptosis,endothelium,15
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,train,apoptosis,apoptosis,79
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,tumor,tumor,504
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,tumor,lymphocyte,178
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,tumor,plasma_cell,123
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,tumor,histiocyte,131
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,tumor,melanophage,101
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,tumor,neutrophil,284
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,tumor,stroma,20
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,tumor,epithelium,847
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,tumor,endothelium,605
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,tumor,apoptosis,56
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,lymphocyte,tumor,27
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,lymphocyte,lymphocyte,152
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,lymphocyte,plasma_cell,79
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,lymphocyte,histiocyte,37
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,lymphocyte,melanophage,22
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,lymphocyte,neutrophil,180
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,lymphocyte,stroma,11
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,lymphocyte,epithelium,68
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,lymphocyte,endothelium,47
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,lymphocyte,apoptosis,49
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,plasma_cell,tumor,2
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,plasma_cell,lymphocyte,0
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,plasma_cell,plasma_cell,2
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,plasma_cell,histiocyte,1
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,plasma_cell,melanophage,1
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,plasma_cell,neutrophil,3
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,plasma_cell,stroma,0
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,plasma_cell,epithelium,3
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,plasma_cell,endothelium,2
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,plasma_cell,apoptosis,0
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,histiocyte,tumor,10
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,histiocyte,lymphocyte,2
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,histiocyte,plasma_cell,4
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,histiocyte,histiocyte,40
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,histiocyte,melanophage,1
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,histiocyte,neutrophil,11
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,histiocyte,stroma,5
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,histiocyte,epithelium,26
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,histiocyte,endothelium,63
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,histiocyte,apoptosis,4
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,melanophage,tumor,1
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,melanophage,lymphocyte,1
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,melanophage,plasma_cell,0
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,melanophage,histiocyte,1
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,melanophage,melanophage,39
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,melanophage,neutrophil,5
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,melanophage,stroma,1
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,melanophage,epithelium,14
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,melanophage,endothelium,2
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,melanophage,apoptosis,2
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,neutrophil,tumor,0
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,neutrophil,lymphocyte,0
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,neutrophil,plasma_cell,0
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,neutrophil,histiocyte,0
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,neutrophil,melanophage,0
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,neutrophil,neutrophil,28
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,neutrophil,stroma,1
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,neutrophil,epithelium,0
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,neutrophil,endothelium,1
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,neutrophil,apoptosis,7
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,stroma,tumor,8
