prompt,run_id,seed,fold,epoch,split,objective,loss,macro_precision,macro_recall,macro_f1,balanced_accuracy_fixed10,accuracy,nll,ece15,roi_macro_precision,roi_macro_recall,roi_macro_f1,pooled_macro_f1,lr,gradients,unique_examples,unique_groups,repeat_fraction,checkpoint_status,early_stopping_counter,source_sha256
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,6,train,1.2229115300090767,1.530651569366455,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,0.30938738531769594,0.5842652976606092,0.45766871165644174,1.530651569366455,0.05859443119058579,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,6,val,1.2229115300090767,1.7305870056152344,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,0.2723678952106409,0.4455307793634238,0.41309523809523807,1.7305870056152344,0.08164355082171304,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,7,train,1.1754652449250953,1.4756020307540894,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,0.32609465941192395,0.558475805159509,0.4067484662576687,1.4756020307540894,0.1315742954054127,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,7,val,1.1754652449250953,1.6435658931732178,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,0.25824627451470394,0.39184744213668954,0.3466666666666667,1.6435658931732178,0.15315950380549545,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,8,train,1.125528153261524,1.276665210723877,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,0.3530098294793842,0.5994639076755005,0.5557668711656442,1.276665210723877,0.024901924857332662,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,8,val,1.125528153261524,1.3974061012268066,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,0.2899491640248633,0.40599524439537477,0.5276190476190477,1.3974061012268066,0.03049848820127192,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,9,train,1.0804041056252696,1.4471572637557983,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,0.31810005990752205,0.6329657652754846,0.46680981595092025,1.4471572637557983,0.0810909874124761,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,9,val,1.0804041056252696,1.5918750762939453,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,0.2653076795641843,0.4083235840831924,0.4380952380952381,1.5918750762939453,0.09684719450417019,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,10,train,1.0513431275256573,1.4464468955993652,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,0.3410690017650735,0.64878494949611,0.4712883435582822,1.4464468955993652,0.07831134663769071,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,10,val,1.0513431275256573,1.6655304431915283,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,0.27024490887099806,0.4429011052050522,0.4297619047619048,1.6655304431915283,0.0999897077111971,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
