prompt,run_id,seed,fold,epoch,split,objective,loss,macro_precision,macro_recall,macro_f1,balanced_accuracy_fixed10,accuracy,nll,ece15,roi_macro_precision,roi_macro_recall,roi_macro_f1,pooled_macro_f1,lr,gradients,unique_examples,unique_groups,repeat_fraction,checkpoint_status,early_stopping_counter,source_sha256
2,exp_biology_lr_0.003,17,NOT RECORDED IN ORIGINAL RUN,1,train,2.3542564137776694,2.409585952758789,0.10039733063870995,0.11120892018779342,0.08895010103612574,0.11120892018779342,0.1,2.409585952758789,0.10378595694899559,0.018498817966903076,0.01938534278959811,0.01801418439716312,0.08874045743025574,0.003,"[2.9698505678647003,4.29480909656834,3.40409883360068,2.593701735138893,3.119802452623844,2.9066066592931747,2.787691503763199,3.076873704791069,3.1190627912680307,3.5662525296211243]",NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,d54967bb91e781ced418c096d49d190f8463802298925dc70f508e4c2f735c12
2,exp_biology_lr_0.003,17,NOT RECORDED IN ORIGINAL RUN,1,val,2.3542564137776694,2.4077489376068115,0.10449152296978384,0.08525641025641026,0.08017099567099567,0.08525641025641026,0.08666666666666667,2.4077489376068115,0.10023866305748623,0.029583333333333333,0.027708333333333335,0.02683333333333333,0.08017099567099567,0.003,"[2.9698505678647003,4.29480909656834,3.40409883360068,2.593701735138893,3.119802452623844,2.9066066592931747,2.787691503763199,3.076873704791069,3.1190627912680307,3.5662525296211243]",NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,d54967bb91e781ced418c096d49d190f8463802298925dc70f508e4c2f735c12
2,exp_biology_lr_0.003,17,NOT RECORDED IN ORIGINAL RUN,2,train,2.288423843383789,2.356874704360962,0.11431907219582933,0.11396713615023472,0.09104735053015459,0.11396713615023472,0.1,2.356874704360962,0.09848238438367844,0.01761229314420804,0.01938534278959811,0.017494089834515367,0.09080536625913219,0.003,"[2.9371041554800223,4.263745037285057,3.3146165907382965,2.581518446405729,3.120996850232283,2.9178051749865213,2.7737251818180084,3.0578250139951706,3.083887293934822,3.5551658968130746]",NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,d54967bb91e781ced418c096d49d190f8463802298925dc70f508e4c2f735c12
2,exp_biology_lr_0.003,17,NOT RECORDED IN ORIGINAL RUN,2,val,2.288423843383789,2.3687548637390137,0.11125,0.11025641025641027,0.09633336588223806,0.11025641025641027,0.10666666666666667,2.3687548637390137,0.07441717793544134,0.03208333333333333,0.03520833333333333,0.031,0.09633336588223806,0.003,"[2.9371041554800223,4.263745037285057,3.3146165907382965,2.581518446405729,3.120996850232283,2.9178051749865213,2.7737251818180084,3.0578250139951706,3.083887293934822,3.5551658968130746]",NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,d54967bb91e781ced418c096d49d190f8463802298925dc70f508e4c2f735c12
2,exp_biology_lr_0.003,17,NOT RECORDED IN ORIGINAL RUN,3,train,2.2382967631022135,2.3101675510406494,0.13168880554473777,0.1431338028169014,0.1159975341698821,0.1431338028169014,0.12333333333333334,2.3101675510406494,0.07178370624780654,0.021158392434988176,0.023995271867612293,0.021513002364066194,0.11566966531742309,0.003,"[2.9078596200741513,4.233678179818231,3.2480517278114953,2.570902789632479,3.125380670030912,2.9328079322973886,2.761432319879532,3.039027581612269,3.0510021448135376,3.5360463013251624]",NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,d54967bb91e781ced418c096d49d190f8463802298925dc70f508e4c2f735c12
2,exp_biology_lr_0.003,17,NOT RECORDED IN ORIGINAL RUN,3,val,2.2382967631022135,2.3332033157348633,0.11610219845513965,0.12115384615384614,0.10332142052223188,0.12115384615384614,0.12,2.3332033157348633,0.06321909169356028,0.03291666666666667,0.038541666666666675,0.033,0.10332142052223188,0.003,"[2.9078596200741513,4.233678179818231,3.2480517278114953,2.570902789632479,3.125380670030912,2.9328079322973886,2.761432319879532,3.039027581612269,3.0510021448135376,3.5360463013251624]",NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,d54967bb91e781ced418c096d49d190f8463802298925dc70f508e4c2f735c12
2,exp_biology_lr_0.003,17,NOT RECORDED IN ORIGINAL RUN,4,train,2.1944106292724608,2.2709097862243652,0.11336792430070322,0.15005868544600937,0.11392351334019832,0.15005868544600937,0.12666666666666668,2.2709097862243652,0.06883883506059646,0.021867612293144205,0.025059101654846337,0.022458628841607563,0.11356509040113019,0.003,"[2.876471542976272,4.2026064846966715,3.202697445948919,2.562249963482221,3.1286228696505227,2.939423377315203,2.7474012970924377,3.0243762135505676,3.018236850698789,3.5226118763287864]",NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,d54967bb91e781ced418c096d49d190f8463802298925dc70f508e4c2f735c12
2,exp_biology_lr_0.003,17,NOT RECORDED IN ORIGINAL RUN,4,val,2.1944106292724608,2.305739164352417,0.11154335113145182,0.13525641025641025,0.10593367346938776,0.13525641025641025,0.12666666666666668,2.305739164352417,0.074381911555926,0.034791666666666665,0.042708333333333334,0.0345,0.10593367346938776,0.003,"[2.876471542976272,4.2026064846966715,3.202697445948919,2.562249963482221,3.1286228696505227,2.939423377315203,2.7474012970924377,3.0243762135505676,3.018236850698789,3.5226118763287864]",NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,d54967bb91e781ced418c096d49d190f8463802298925dc70f508e4c2f735c12
2,exp_biology_lr_0.003,17,NOT RECORDED IN ORIGINAL RUN,5,train,2.157087910970052,2.2363154888153076,0.09972709952586113,0.1458920187793427,0.10624514231408513,0.1458920187793427,0.12333333333333334,2.2363154888153076,0.0756095282236735,0.021099290780141843,0.023995271867612293,0.021442080378250593,0.10588671937501704,0.003,"[2.856226126073112,4.159674103195603,3.1727319111426673,2.554853012164434,3.129106437166532,2.945921316742897,2.7358021984497705,3.007086530327797,2.982468252380689,3.5181519091129303]",NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,d54967bb91e781ced418c096d49d190f8463802298925dc70f508e4c2f735c12
2,exp_biology_lr_0.003,17,NOT RECORDED IN ORIGINAL RUN,5,val,2.157087910970052,2.282081127166748,0.13508133971291866,0.1544871794871795,0.1235772628461704,0.1544871794871795,0.14666666666666667,2.282081127166748,0.07781182388464608,0.04187500000000001,0.04795833333333334,0.03995454545454545,0.12318200592917435,0.003,"[2.856226126073112,4.159674103195603,3.1727319111426673,2.554853012164434,3.129106437166532,2.945921316742897,2.7358021984497705,3.007086530327797,2.982468252380689,3.5181519091129303]",NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,d54967bb91e781ced418c096d49d190f8463802298925dc70f508e4c2f735c12
