experiment_group,run_id,status,seed,manifest,config_sha256,joint_epochs,decoupled_epochs,selected_phase,selected_epoch,selected_roi_f1,dev_semantic_f1,checkpoint,summary,summary_sha256,evidence_status
B,p6_B_AUG0_s29,COMPLETE,29,C:\Users\Hngk\Documents\Codex\PUMA_STAGE2_PROMPT6\DATA_PRESELECTION\SELECTION\D900.csv,e5612ad7fb4e7fa5e857ee4dd8f5d6bbd08867f0740b361d026b5a42a21c093b,10,0,joint,10,0.14661564625850337,0.42696826915047864,C:\Users\Hngk\Documents\Codex\2026-09-07\use-the-autoresearch-skill-x20-https\outputs\PUMA_STAGE2_RESEARCH_PROMPTS_1_TO_4\PROMPT_6\EXPERIMENTS\p6_B_AUG0_s29\checkpoints\final.pt,C:\Users\Hngk\Documents\Codex\2026-09-07\use-the-autoresearch-skill-x20-https\outputs\PUMA_STAGE2_RESEARCH_PROMPTS_1_TO_4\PROMPT_6\EXPERIMENTS\p6_B_AUG0_s29\summary.json,c1aff72ea5f37347386fe80b58a4570e0a79c61d9c879de09f16acf0d0acd6d9,RAW AUGMENTATION STUDY
B,p6_B_AUG0_s43,IN_PROGRESS,43,C:\Users\Hngk\Documents\Codex\PUMA_STAGE2_PROMPT6\DATA_PRESELECTION\SELECTION\D900.csv,e1fbe7ea203afaa7cf67911487cd9b6486dafe8c7cc1398af74b52e82705e4fc,IN_PROGRESS,0,joint,NOT YET SELECTED,NOT YET AVAILABLE,NOT YET AVAILABLE,NOT YET AVAILABLE,NOT YET AVAILABLE,NOT YET AVAILABLE,RAW AUGMENTATION STUDY
C,p6_C_cached_crt_noreset_s17,COMPLETE,17,C:\Users\Hngk\Documents\Codex\PUMA_STAGE2_PROMPT6\DATA_PRESELECTION\SELECTION\D900.csv,01cb29715f58ee3731f5bbc50b4e25674fe0164f18916deacf68b4987c0514c6,10,5,decoupled,5,0.14494897959183675,0.41934718822438366,C:\Users\Hngk\Documents\Codex\2026-09-07\use-the-autoresearch-skill-x20-https\outputs\PUMA_STAGE2_RESEARCH_PROMPTS_1_TO_4\PROMPT_6\EXPERIMENTS\p6_C_cached_crt_noreset_s17\checkpoints\decoupled_final.pt,C:\Users\Hngk\Documents\Codex\2026-09-07\use-the-autoresearch-skill-x20-https\outputs\PUMA_STAGE2_RESEARCH_PROMPTS_1_TO_4\PROMPT_6\EXPERIMENTS\p6_C_cached_crt_noreset_s17\summary.json,53628c8a903a3e6bff61ead0faa478c50d8dd245784fdc1b49759c9e434548ab,CONDITIONAL ON B AUGMENTATION
C,p6_C_cached_crt_noreset_s29,COMPLETE,29,C:\Users\Hngk\Documents\Codex\PUMA_STAGE2_PROMPT6\DATA_PRESELECTION\SELECTION\D900.csv,1717f405bd3ea014f5c514560c017688e464e09fccd9946087e731f510f054c8,10,5,decoupled,5,0.13441326530612246,0.40301164843811293,C:\Users\Hngk\Documents\Codex\2026-09-07\use-the-autoresearch-skill-x20-https\outputs\PUMA_STAGE2_RESEARCH_PROMPTS_1_TO_4\PROMPT_6\EXPERIMENTS\p6_C_cached_crt_noreset_s29\checkpoints\decoupled_final.pt,C:\Users\Hngk\Documents\Codex\2026-09-07\use-the-autoresearch-skill-x20-https\outputs\PUMA_STAGE2_RESEARCH_PROMPTS_1_TO_4\PROMPT_6\EXPERIMENTS\p6_C_cached_crt_noreset_s29\summary.json,8830ea69a413bf48558c3b56ea80278dec4465cca0dbde17f64e0ef70d03ac75,CONDITIONAL ON B AUGMENTATION
C,p6_C_cached_crt_noreset_s43,COMPLETE,43,C:\Users\Hngk\Documents\Codex\PUMA_STAGE2_PROMPT6\DATA_PRESELECTION\SELECTION\D900.csv,8547ec7dded970a877c6de5e8eba9576f2703fc336f7f58628dd70229f08a144,10,5,decoupled,5,0.1429251700680272,0.40685856922050984,C:\Users\Hngk\Documents\Codex\2026-09-07\use-the-autoresearch-skill-x20-https\outputs\PUMA_STAGE2_RESEARCH_PROMPTS_1_TO_4\PROMPT_6\EXPERIMENTS\p6_C_cached_crt_noreset_s43\checkpoints\decoupled_final.pt,C:\Users\Hngk\Documents\Codex\2026-09-07\use-the-autoresearch-skill-x20-https\outputs\PUMA_STAGE2_RESEARCH_PROMPTS_1_TO_4\PROMPT_6\EXPERIMENTS\p6_C_cached_crt_noreset_s43\summary.json,e4936e556bffe009df868ff57b83fa70a34780bd2c87c05eea6e44359efd36d6,CONDITIONAL ON B AUGMENTATION
C,p6_C_cached_crt_reset_s17,COMPLETE,17,C:\Users\Hngk\Documents\Codex\PUMA_STAGE2_PROMPT6\DATA_PRESELECTION\SELECTION\D900.csv,b3f76f672f18e6767784f8cb015b3cd0e9392da45b5b5663b95366599f6726be,10,5,decoupled,5,0.1359608843537415,0.40104933643911594,C:\Users\Hngk\Documents\Codex\2026-09-07\use-the-autoresearch-skill-x20-https\outputs\PUMA_STAGE2_RESEARCH_PROMPTS_1_TO_4\PROMPT_6\EXPERIMENTS\p6_C_cached_crt_reset_s17\checkpoints\decoupled_final.pt,C:\Users\Hngk\Documents\Codex\2026-09-07\use-the-autoresearch-skill-x20-https\outputs\PUMA_STAGE2_RESEARCH_PROMPTS_1_TO_4\PROMPT_6\EXPERIMENTS\p6_C_cached_crt_reset_s17\summary.json,e9078982a8fa563dd6bfb59224674e0e77d5d8ea12b73bcf90b14f4a046db41c,CONDITIONAL ON B AUGMENTATION
C,p6_C_cached_crt_reset_s29,COMPLETE,29,C:\Users\Hngk\Documents\Codex\PUMA_STAGE2_PROMPT6\DATA_PRESELECTION\SELECTION\D900.csv,a316730ed8af1b66f96bc0c74bffff825f1d3a456fbc7f55a6bb798ab496cc47,10,5,decoupled,5,0.13835034013605443,0.4311995806934038,C:\Users\Hngk\Documents\Codex\2026-09-07\use-the-autoresearch-skill-x20-https\outputs\PUMA_STAGE2_RESEARCH_PROMPTS_1_TO_4\PROMPT_6\EXPERIMENTS\p6_C_cached_crt_reset_s29\checkpoints\decoupled_final.pt,C:\Users\Hngk\Documents\Codex\2026-09-07\use-the-autoresearch-skill-x20-https\outputs\PUMA_STAGE2_RESEARCH_PROMPTS_1_TO_4\PROMPT_6\EXPERIMENTS\p6_C_cached_crt_reset_s29\summary.json,61b4e14d92a873cba624a350b7a3e6967b6d9ad642bc2ef1689145c348fa396c,CONDITIONAL ON B AUGMENTATION
C,p6_C_cached_crt_reset_s43,COMPLETE,43,C:\Users\Hngk\Documents\Codex\PUMA_STAGE2_PROMPT6\DATA_PRESELECTION\SELECTION\D900.csv,bc2866539e73b59f61d9994ced09203672e22f66a9fe4561e248734eac4b6209,10,5,decoupled,5,0.1389965986394558,0.41172460600783023,C:\Users\Hngk\Documents\Codex\2026-09-07\use-the-autoresearch-skill-x20-https\outputs\PUMA_STAGE2_RESEARCH_PROMPTS_1_TO_4\PROMPT_6\EXPERIMENTS\p6_C_cached_crt_reset_s43\checkpoints\decoupled_final.pt,C:\Users\Hngk\Documents\Codex\2026-09-07\use-the-autoresearch-skill-x20-https\outputs\PUMA_STAGE2_RESEARCH_PROMPTS_1_TO_4\PROMPT_6\EXPERIMENTS\p6_C_cached_crt_reset_s43\summary.json,35b1cc926cca6e2e571ee7046b3192fcdeec506e535339884719fb4a85d71a56,CONDITIONAL ON B AUGMENTATION
C,p6_C_cached_natural_s17,COMPLETE,17,C:\Users\Hngk\Documents\Codex\PUMA_STAGE2_PROMPT6\DATA_PRESELECTION\SELECTION\D900.csv,a81cfae9668291587ca45196c38f057dfcd540a5032563d9e52a6f4356173a46,10,0,joint,10,0.1459608843537415,0.42154342277428397,C:\Users\Hngk\Documents\Codex\2026-09-07\use-the-autoresearch-skill-x20-https\outputs\PUMA_STAGE2_RESEARCH_PROMPTS_1_TO_4\PROMPT_6\EXPERIMENTS\p6_C_cached_natural_s17\checkpoints\final.pt,C:\Users\Hngk\Documents\Codex\2026-09-07\use-the-autoresearch-skill-x20-https\outputs\PUMA_STAGE2_RESEARCH_PROMPTS_1_TO_4\PROMPT_6\EXPERIMENTS\p6_C_cached_natural_s17\summary.json,0b1e34d5eae4614af698384a81a9e6a0b59007c19702793bcbdbae075bb06987,CONDITIONAL ON B AUGMENTATION
C,p6_C_cached_natural_s29,COMPLETE,29,C:\Users\Hngk\Documents\Codex\PUMA_STAGE2_PROMPT6\DATA_PRESELECTION\SELECTION\D900.csv,e33c5a496849250c1a840f7978af803caad6acbce4b4f8416b758de38fc5f041,10,0,joint,10,0.1359013605442177,0.40536389796445,C:\Users\Hngk\Documents\Codex\2026-09-07\use-the-autoresearch-skill-x20-https\outputs\PUMA_STAGE2_RESEARCH_PROMPTS_1_TO_4\PROMPT_6\EXPERIMENTS\p6_C_cached_natural_s29\checkpoints\final.pt,C:\Users\Hngk\Documents\Codex\2026-09-07\use-the-autoresearch-skill-x20-https\outputs\PUMA_STAGE2_RESEARCH_PROMPTS_1_TO_4\PROMPT_6\EXPERIMENTS\p6_C_cached_natural_s29\summary.json,c83756b41a2de2ce1a735be5aa45e71b3319d3f8dc1ca55e2a1439dae9ef6ec7,CONDITIONAL ON B AUGMENTATION
C,p6_C_cached_natural_s43,COMPLETE,43,C:\Users\Hngk\Documents\Codex\PUMA_STAGE2_PROMPT6\DATA_PRESELECTION\SELECTION\D900.csv,1393f197a88e9051d12b875772ea4d8ed962c10d2b30fc9a43adcfc98acfc514,10,0,joint,10,0.1321513605442177,0.3944124494292153,C:\Users\Hngk\Documents\Codex\2026-09-07\use-the-autoresearch-skill-x20-https\outputs\PUMA_STAGE2_RESEARCH_PROMPTS_1_TO_4\PROMPT_6\EXPERIMENTS\p6_C_cached_natural_s43\checkpoints\final.pt,C:\Users\Hngk\Documents\Codex\2026-09-07\use-the-autoresearch-skill-x20-https\outputs\PUMA_STAGE2_RESEARCH_PROMPTS_1_TO_4\PROMPT_6\EXPERIMENTS\p6_C_cached_natural_s43\summary.json,bd7c2287deb9a29ecc1f847525ec7a8f5849d9173ac74315e9a52acb0b197857,CONDITIONAL ON B AUGMENTATION
C,p6_C_cached_tempered_s17,COMPLETE,17,C:\Users\Hngk\Documents\Codex\PUMA_STAGE2_PROMPT6\DATA_PRESELECTION\SELECTION\D900.csv,f8804bbdd2ab195e3fca50dadfd231780caabe0fb9cc39e09d78c188e620e1f6,10,0,joint,10,0.13411564625850342,0.38550268516599784,C:\Users\Hngk\Documents\Codex\2026-09-07\use-the-autoresearch-skill-x20-https\outputs\PUMA_STAGE2_RESEARCH_PROMPTS_1_TO_4\PROMPT_6\EXPERIMENTS\p6_C_cached_tempered_s17\checkpoints\final.pt,C:\Users\Hngk\Documents\Codex\2026-09-07\use-the-autoresearch-skill-x20-https\outputs\PUMA_STAGE2_RESEARCH_PROMPTS_1_TO_4\PROMPT_6\EXPERIMENTS\p6_C_cached_tempered_s17\summary.json,d80359334653dd3e293eeb9229577554898eaf40f8825ac34833c2f5a8e36d79,CONDITIONAL ON B AUGMENTATION
C,p6_C_cached_tempered_s29,COMPLETE,29,C:\Users\Hngk\Documents\Codex\PUMA_STAGE2_PROMPT6\DATA_PRESELECTION\SELECTION\D900.csv,acbd744ae3ed9df28be718c7eeb34d6ac6bea286b706260a4aa56eb408ef1757,10,0,joint,10,0.14857993197278913,0.4314782702328944,C:\Users\Hngk\Documents\Codex\2026-09-07\use-the-autoresearch-skill-x20-https\outputs\PUMA_STAGE2_RESEARCH_PROMPTS_1_TO_4\PROMPT_6\EXPERIMENTS\p6_C_cached_tempered_s29\checkpoints\final.pt,C:\Users\Hngk\Documents\Codex\2026-09-07\use-the-autoresearch-skill-x20-https\outputs\PUMA_STAGE2_RESEARCH_PROMPTS_1_TO_4\PROMPT_6\EXPERIMENTS\p6_C_cached_tempered_s29\summary.json,c0eb33fa2aeb9e135abdfde48dec713e469bed5147b4604ac399a0c546d16fea,CONDITIONAL ON B AUGMENTATION
C,p6_C_cached_tempered_s43,COMPLETE,43,C:\Users\Hngk\Documents\Codex\PUMA_STAGE2_PROMPT6\DATA_PRESELECTION\SELECTION\D900.csv,51b580bc33f2ea4849f33a586432f633dc97734ebf8dd27b54c82006443581b0,10,0,joint,10,0.13738945578231293,0.4054373073048795,C:\Users\Hngk\Documents\Codex\2026-09-07\use-the-autoresearch-skill-x20-https\outputs\PUMA_STAGE2_RESEARCH_PROMPTS_1_TO_4\PROMPT_6\EXPERIMENTS\p6_C_cached_tempered_s43\checkpoints\final.pt,C:\Users\Hngk\Documents\Codex\2026-09-07\use-the-autoresearch-skill-x20-https\outputs\PUMA_STAGE2_RESEARCH_PROMPTS_1_TO_4\PROMPT_6\EXPERIMENTS\p6_C_cached_tempered_s43\summary.json,f0a11a37eeb450b630b98a83ee8827e239db7e8e63f4a7a153e12c47501d8e21,CONDITIONAL ON B AUGMENTATION
