run_id,seed,roi,roi_fixed10_f1,semantic_annotation_rows,summary_sha256
p6_A_D300_s17,17,training_set_primary_roi_024,0.06666666666666667,3,5db7fe4ab4611e3a037ca47fd18dadcbcae022e97eccbeb875b59be97f593f82
p6_A_D300_s17,17,training_set_primary_roi_029,0.16666666666666666,5,5db7fe4ab4611e3a037ca47fd18dadcbcae022e97eccbeb875b59be97f593f82
p6_A_D300_s17,17,training_set_primary_roi_032,0.27999999999999997,5,5db7fe4ab4611e3a037ca47fd18dadcbcae022e97eccbeb875b59be97f593f82
p6_A_D300_s17,17,training_set_primary_roi_034,0.21666666666666665,6,5db7fe4ab4611e3a037ca47fd18dadcbcae022e97eccbeb875b59be97f593f82
p6_A_D300_s17,17,training_set_primary_roi_036,0.06666666666666667,4,5db7fe4ab4611e3a037ca47fd18dadcbcae022e97eccbeb875b59be97f593f82
p6_A_D300_s17,17,training_set_primary_roi_037,0.1,4,5db7fe4ab4611e3a037ca47fd18dadcbcae022e97eccbeb875b59be97f593f82
p6_A_D300_s17,17,training_set_primary_roi_040,0.1833333333333333,7,5db7fe4ab4611e3a037ca47fd18dadcbcae022e97eccbeb875b59be97f593f82
p6_A_D300_s17,17,training_set_primary_roi_052,0.15714285714285717,9,5db7fe4ab4611e3a037ca47fd18dadcbcae022e97eccbeb875b59be97f593f82
p6_A_D300_s17,17,training_set_primary_roi_057,0.18,6,5db7fe4ab4611e3a037ca47fd18dadcbcae022e97eccbeb875b59be97f593f82
p6_A_D300_s17,17,training_set_primary_roi_058,0.18333333333333332,7,5db7fe4ab4611e3a037ca47fd18dadcbcae022e97eccbeb875b59be97f593f82
p6_A_D300_s17,17,training_set_primary_roi_062,0.1,3,5db7fe4ab4611e3a037ca47fd18dadcbcae022e97eccbeb875b59be97f593f82
p6_A_D300_s17,17,training_set_primary_roi_064,0.16666666666666666,5,5db7fe4ab4611e3a037ca47fd18dadcbcae022e97eccbeb875b59be97f593f82
p6_A_D300_s17,17,training_set_primary_roi_067,0.26666666666666666,6,5db7fe4ab4611e3a037ca47fd18dadcbcae022e97eccbeb875b59be97f593f82
p6_A_D300_s17,17,training_set_primary_roi_068,0.1,6,5db7fe4ab4611e3a037ca47fd18dadcbcae022e97eccbeb875b59be97f593f82
p6_A_D300_s17,17,training_set_primary_roi_075,0.2,3,5db7fe4ab4611e3a037ca47fd18dadcbcae022e97eccbeb875b59be97f593f82
p6_A_D300_s17,17,training_set_primary_roi_082,0.26666666666666666,5,5db7fe4ab4611e3a037ca47fd18dadcbcae022e97eccbeb875b59be97f593f82
p6_A_D300_s17,17,training_set_primary_roi_083,0.2,5,5db7fe4ab4611e3a037ca47fd18dadcbcae022e97eccbeb875b59be97f593f82
p6_A_D300_s17,17,training_set_primary_roi_086,0.06666666666666667,5,5db7fe4ab4611e3a037ca47fd18dadcbcae022e97eccbeb875b59be97f593f82
p6_A_D300_s17,17,training_set_primary_roi_091,0.2,2,5db7fe4ab4611e3a037ca47fd18dadcbcae022e97eccbeb875b59be97f593f82
p6_A_D300_s17,17,training_set_primary_roi_096,0.1,3,5db7fe4ab4611e3a037ca47fd18dadcbcae022e97eccbeb875b59be97f593f82
p6_A_D300_s17,17,training_set_primary_roi_098,0.1,3,5db7fe4ab4611e3a037ca47fd18dadcbcae022e97eccbeb875b59be97f593f82
p6_A_D300_s29,29,training_set_metastatic_roi_001,0.1,2,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_metastatic_roi_002,0.0,2,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_metastatic_roi_015,0.1,2,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_metastatic_roi_018,0.11666666666666665,5,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_metastatic_roi_020,0.2,3,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_metastatic_roi_023,0.05,3,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_metastatic_roi_029,0.2,3,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_metastatic_roi_030,0.05,4,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_metastatic_roi_031,0.0,2,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_metastatic_roi_032,0.16666666666666666,3,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_metastatic_roi_035,0.1,1,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_metastatic_roi_040,0.1,3,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_metastatic_roi_046,0.05714285714285715,6,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_metastatic_roi_047,0.06666666666666667,3,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_metastatic_roi_049,0.06666666666666667,2,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_metastatic_roi_056,0.13999999999999999,6,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_metastatic_roi_061,0.08,6,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_metastatic_roi_067,0.05,5,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_metastatic_roi_076,0.0,3,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_metastatic_roi_080,0.02857142857142857,7,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_metastatic_roi_081,0.2,3,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_metastatic_roi_085,0.1,2,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_metastatic_roi_087,0.1,4,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_metastatic_roi_093,0.2,2,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_metastatic_roi_097,0.0,1,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_metastatic_roi_102,0.1,3,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
