representation,class_name,other_class,centroid_cosine,centroid_distance
target_patch,tumor,tumor,0.9999999999999999,0.0
target_patch,tumor,lymphocyte,0.7021033649382573,0.507236182439221
target_patch,tumor,plasma_cell,0.7755063312284106,0.43322026095481236
target_patch,tumor,histiocyte,0.8167871047494604,0.3931988485619179
target_patch,tumor,melanophage,0.8452313000171837,0.37105645302522633
target_patch,tumor,neutrophil,0.5657833201018894,0.6228296185013164
target_patch,tumor,stroma,0.7505567535879362,0.4301206758993858
target_patch,tumor,epithelium,0.9117331578233822,0.2682942504629729
target_patch,tumor,endothelium,0.8047968995981241,0.3847266422734324
target_patch,tumor,apoptosis,0.7217066875831061,0.4671971692271688
target_patch,lymphocyte,tumor,0.7021033649382573,0.507236182439221
target_patch,lymphocyte,lymphocyte,0.9999999999999998,0.0
target_patch,lymphocyte,plasma_cell,0.8226373635935168,0.40201577889570284
target_patch,lymphocyte,histiocyte,0.7522885688631378,0.4760738824286561
target_patch,lymphocyte,melanophage,0.6485463789798966,0.5760794839373832
target_patch,lymphocyte,neutrophil,0.5953916892904146,0.6248652828866654
target_patch,lymphocyte,stroma,0.645076213076943,0.5440125941231349
target_patch,lymphocyte,epithelium,0.5873317612464917,0.6060206887424673
target_patch,lymphocyte,endothelium,0.598217912401515,0.5829241795290822
target_patch,lymphocyte,apoptosis,0.768674538608961,0.4495545542448043
target_patch,plasma_cell,tumor,0.7755063312284106,0.43322026095481236
target_patch,plasma_cell,lymphocyte,0.8226373635935168,0.40201577889570284
target_patch,plasma_cell,plasma_cell,1.0000000000000002,0.0
target_patch,plasma_cell,histiocyte,0.7788958762488587,0.4434031156198938
target_patch,plasma_cell,melanophage,0.7385356690022944,0.49069972303205384
target_patch,plasma_cell,neutrophil,0.6556440846196783,0.5696331878827212
target_patch,plasma_cell,stroma,0.6439803651773167,0.5347398944732993
target_patch,plasma_cell,epithelium,0.671802023958599,0.5324046409877382
target_patch,plasma_cell,endothelium,0.6765931547043726,0.5146267038988553
target_patch,plasma_cell,apoptosis,0.7747168181650331,0.4358395486273339
target_patch,histiocyte,tumor,0.8167871047494604,0.3931988485619179
target_patch,histiocyte,lymphocyte,0.7522885688631378,0.4760738824286561
target_patch,histiocyte,plasma_cell,0.7788958762488587,0.4434031156198938
target_patch,histiocyte,histiocyte,1.0,0.0
target_patch,histiocyte,melanophage,0.8293280921093438,0.39756319810834706
target_patch,histiocyte,neutrophil,0.605984937329405,0.6105049058307761
target_patch,histiocyte,stroma,0.846099765600865,0.3573732065306749
target_patch,histiocyte,epithelium,0.7356273151871582,0.4792749903854145
target_patch,histiocyte,endothelium,0.8823444688208342,0.3151375002406344
target_patch,histiocyte,apoptosis,0.717014702025904,0.48968733274581144
target_patch,melanophage,tumor,0.8452313000171837,0.37105645302522633
target_patch,melanophage,lymphocyte,0.6485463789798966,0.5760794839373832
target_patch,melanophage,plasma_cell,0.7385356690022944,0.49069972303205384
target_patch,melanophage,histiocyte,0.8293280921093438,0.39756319810834706
target_patch,melanophage,melanophage,1.0,0.0
target_patch,melanophage,neutrophil,0.5947297773007962,0.6283176393451826
target_patch,melanophage,stroma,0.7198657712615314,0.48878168940917416
target_patch,melanophage,epithelium,0.7765430420026447,0.4493906332956775
target_patch,melanophage,endothelium,0.7466366670231981,0.46860350167222575
target_patch,melanophage,apoptosis,0.7039861464246184,0.5110393199079578
target_patch,neutrophil,tumor,0.5657833201018894,0.6228296185013164
target_patch,neutrophil,lymphocyte,0.5953916892904146,0.6248652828866654
target_patch,neutrophil,plasma_cell,0.6556440846196783,0.5696331878827212
target_patch,neutrophil,histiocyte,0.605984937329405,0.6105049058307761
target_patch,neutrophil,melanophage,0.5947297773007962,0.6283176393451826
target_patch,neutrophil,neutrophil,0.9999999999999998,0.0
target_patch,neutrophil,stroma,0.5497549767793721,0.6236521737358881
target_patch,neutrophil,epithelium,0.4957488441158533,0.6814711685696462
target_patch,neutrophil,endothelium,0.5651682771398867,0.6182604485672052
target_patch,neutrophil,apoptosis,0.8119658798818021,0.4154831457460852
target_patch,stroma,tumor,0.7505567535879362,0.4301206758993858
target_patch,stroma,lymphocyte,0.645076213076943,0.5440125941231349
target_patch,stroma,plasma_cell,0.6439803651773167,0.5347398944732993
target_patch,stroma,histiocyte,0.846099765600865,0.3573732065306749
target_patch,stroma,melanophage,0.7198657712615314,0.48878168940917416
target_patch,stroma,neutrophil,0.5497549767793721,0.6236521737358881
target_patch,stroma,stroma,1.0,0.0
