roi_id,fold,match_status,count
training_set_metastatic_roi_064,0,matched,651
training_set_metastatic_roi_064,0,unmatched,93
training_set_metastatic_roi_065,0,matched,549
training_set_metastatic_roi_065,0,unmatched,57
training_set_metastatic_roi_066,2,matched,782
training_set_metastatic_roi_066,2,unmatched,77
training_set_metastatic_roi_067,3,matched,882
training_set_metastatic_roi_067,3,unmatched,118
training_set_metastatic_roi_068,2,matched,296
training_set_metastatic_roi_068,2,unmatched,52
training_set_metastatic_roi_069,2,matched,578
training_set_metastatic_roi_069,2,unmatched,85
training_set_metastatic_roi_070,2,matched,440
training_set_metastatic_roi_070,2,unmatched,87
training_set_metastatic_roi_071,0,matched,441
training_set_metastatic_roi_071,0,unmatched,93
training_set_metastatic_roi_072,0,matched,737
training_set_metastatic_roi_072,0,unmatched,123
training_set_metastatic_roi_073,2,matched,738
training_set_metastatic_roi_073,2,unmatched,110
training_set_metastatic_roi_074,2,matched,425
training_set_metastatic_roi_074,2,unmatched,49
training_set_metastatic_roi_075,2,matched,375
training_set_metastatic_roi_075,2,unmatched,87
training_set_metastatic_roi_076,2,matched,426
training_set_metastatic_roi_076,2,unmatched,51
training_set_metastatic_roi_077,2,matched,430
training_set_metastatic_roi_077,2,unmatched,69
training_set_metastatic_roi_078,2,matched,413
training_set_metastatic_roi_078,2,unmatched,73
training_set_metastatic_roi_079,2,matched,360
training_set_metastatic_roi_079,2,unmatched,75
training_set_metastatic_roi_080,0,matched,319
training_set_metastatic_roi_080,0,unmatched,71
training_set_metastatic_roi_081,2,matched,393
training_set_metastatic_roi_081,2,unmatched,75
training_set_metastatic_roi_082,2,matched,508
training_set_metastatic_roi_082,2,unmatched,70
training_set_metastatic_roi_083,2,matched,218
training_set_metastatic_roi_083,2,unmatched,27
training_set_metastatic_roi_084,3,matched,359
training_set_metastatic_roi_084,3,unmatched,107
training_set_metastatic_roi_085,3,matched,482
training_set_metastatic_roi_085,3,unmatched,87
training_set_metastatic_roi_086,0,matched,445
training_set_metastatic_roi_086,0,unmatched,67
training_set_metastatic_roi_087,2,matched,610
training_set_metastatic_roi_087,2,unmatched,85
training_set_metastatic_roi_088,2,matched,352
training_set_metastatic_roi_088,2,unmatched,51
training_set_metastatic_roi_089,2,matched,433
training_set_metastatic_roi_089,2,unmatched,38
training_set_metastatic_roi_090,3,matched,485
training_set_metastatic_roi_090,3,unmatched,68
