seed,true_class,predicted_class,support,CLS_count,local_count,delta_count
29,plasma_cell,apoptosis,12,0,0,0
29,histiocyte,tumor,12,3,3,0
29,histiocyte,lymphocyte,12,1,2,1
29,histiocyte,plasma_cell,12,0,2,2
29,histiocyte,histiocyte,12,2,3,1
29,histiocyte,melanophage,12,4,0,-4
29,histiocyte,neutrophil,12,0,0,0
29,histiocyte,stroma,12,1,0,-1
29,histiocyte,epithelium,12,1,0,-1
29,histiocyte,endothelium,12,0,2,2
29,histiocyte,apoptosis,12,0,0,0
29,melanophage,tumor,12,2,1,-1
29,melanophage,lymphocyte,12,1,0,-1
29,melanophage,plasma_cell,12,0,0,0
29,melanophage,histiocyte,12,0,0,0
29,melanophage,melanophage,12,9,11,2
29,melanophage,neutrophil,12,0,0,0
29,melanophage,stroma,12,0,0,0
29,melanophage,epithelium,12,0,0,0
29,melanophage,endothelium,12,0,0,0
29,melanophage,apoptosis,12,0,0,0
29,neutrophil,tumor,12,0,0,0
29,neutrophil,lymphocyte,12,0,0,0
29,neutrophil,plasma_cell,12,0,0,0
29,neutrophil,histiocyte,12,0,0,0
29,neutrophil,melanophage,12,0,0,0
29,neutrophil,neutrophil,12,12,11,-1
29,neutrophil,stroma,12,0,0,0
29,neutrophil,epithelium,12,0,0,0
29,neutrophil,endothelium,12,0,0,0
29,neutrophil,apoptosis,12,0,1,1
29,stroma,tumor,12,1,2,1
29,stroma,lymphocyte,12,3,0,-3
29,stroma,plasma_cell,12,0,0,0
29,stroma,histiocyte,12,0,1,1
29,stroma,melanophage,12,0,1,1
29,stroma,neutrophil,12,1,0,-1
29,stroma,stroma,12,6,6,0
29,stroma,epithelium,12,0,0,0
29,stroma,endothelium,12,1,0,-1
29,stroma,apoptosis,12,0,2,2
29,epithelium,tumor,12,1,3,2
29,epithelium,lymphocyte,12,0,1,1
29,epithelium,plasma_cell,12,0,0,0
29,epithelium,histiocyte,12,0,0,0
29,epithelium,melanophage,12,0,1,1
29,epithelium,neutrophil,12,0,0,0
29,epithelium,stroma,12,1,1,0
29,epithelium,epithelium,12,10,6,-4
29,epithelium,endothelium,12,0,0,0
29,epithelium,apoptosis,12,0,0,0
29,endothelium,tumor,12,1,0,-1
29,endothelium,lymphocyte,12,0,1,1
29,endothelium,plasma_cell,12,0,0,0
29,endothelium,histiocyte,12,1,1,0
29,endothelium,melanophage,12,2,1,-1
29,endothelium,neutrophil,12,0,0,0
29,endothelium,stroma,12,0,1,1
29,endothelium,epithelium,12,1,1,0
29,endothelium,endothelium,12,6,6,0
29,endothelium,apoptosis,12,1,1,0
29,apoptosis,tumor,12,2,1,-1
29,apoptosis,lymphocyte,12,1,0,-1
29,apoptosis,plasma_cell,12,0,0,0
29,apoptosis,histiocyte,12,0,0,0
29,apoptosis,melanophage,12,0,0,0
29,apoptosis,neutrophil,12,2,1,-1
29,apoptosis,stroma,12,1,2,1
29,apoptosis,epithelium,12,1,0,-1
29,apoptosis,endothelium,12,0,0,0
29,apoptosis,apoptosis,12,5,8,3
43,tumor,tumor,39,30,26,-4
43,tumor,lymphocyte,39,1,4,3
43,tumor,plasma_cell,39,0,0,0
43,tumor,histiocyte,39,4,4,0
43,tumor,melanophage,39,1,1,0
43,tumor,neutrophil,39,0,0,0
43,tumor,stroma,39,2,1,-1
43,tumor,epithelium,39,0,1,1
43,tumor,endothelium,39,0,1,1
43,tumor,apoptosis,39,1,1,0
43,lymphocyte,tumor,15,2,0,-2
43,lymphocyte,lymphocyte,15,9,9,0
43,lymphocyte,plasma_cell,15,2,4,2
43,lymphocyte,histiocyte,15,0,0,0
43,lymphocyte,melanophage,15,1,0,-1
43,lymphocyte,neutrophil,15,0,0,0
43,lymphocyte,stroma,15,1,1,0
43,lymphocyte,epithelium,15,0,0,0
43,lymphocyte,endothelium,15,0,0,0
43,lymphocyte,apoptosis,15,0,1,1
43,plasma_cell,tumor,12,1,0,-1
43,plasma_cell,lymphocyte,12,1,0,-1
43,plasma_cell,plasma_cell,12,5,7,2
43,plasma_cell,histiocyte,12,2,5,3
43,plasma_cell,melanophage,12,3,0,-3
43,plasma_cell,neutrophil,12,0,0,0
43,plasma_cell,stroma,12,0,0,0
43,plasma_cell,epithelium,12,0,0,0
43,plasma_cell,endothelium,12,0,0,0
43,plasma_cell,apoptosis,12,0,0,0
43,histiocyte,tumor,12,2,2,0
43,histiocyte,lymphocyte,12,2,4,2
43,histiocyte,plasma_cell,12,0,0,0
43,histiocyte,histiocyte,12,5,4,-1
43,histiocyte,melanophage,12,2,0,-2
43,histiocyte,neutrophil,12,0,0,0
43,histiocyte,stroma,12,0,1,1
43,histiocyte,epithelium,12,1,0,-1
43,histiocyte,endothelium,12,0,1,1
43,histiocyte,apoptosis,12,0,0,0
43,melanophage,tumor,12,2,1,-1
43,melanophage,lymphocyte,12,1,0,-1
43,melanophage,plasma_cell,12,0,0,0
43,melanophage,histiocyte,12,1,0,-1
43,melanophage,melanophage,12,7,11,4
43,melanophage,neutrophil,12,0,0,0
43,melanophage,stroma,12,1,0,-1
43,melanophage,epithelium,12,0,0,0
43,melanophage,endothelium,12,0,0,0
43,melanophage,apoptosis,12,0,0,0
43,neutrophil,tumor,12,0,0,0
43,neutrophil,lymphocyte,12,0,0,0
43,neutrophil,plasma_cell,12,0,0,0
43,neutrophil,histiocyte,12,0,0,0
43,neutrophil,melanophage,12,0,0,0
43,neutrophil,neutrophil,12,11,10,-1
43,neutrophil,stroma,12,0,0,0
43,neutrophil,epithelium,12,0,0,0
43,neutrophil,endothelium,12,0,0,0
43,neutrophil,apoptosis,12,1,2,1
43,stroma,tumor,12,1,1,0
43,stroma,lymphocyte,12,1,0,-1
43,stroma,plasma_cell,12,0,0,0
43,stroma,histiocyte,12,0,3,3
43,stroma,melanophage,12,0,1,1
43,stroma,neutrophil,12,1,0,-1
43,stroma,stroma,12,8,7,-1
43,stroma,epithelium,12,0,0,0
43,stroma,endothelium,12,1,0,-1
43,stroma,apoptosis,12,0,0,0
43,epithelium,tumor,12,0,3,3
43,epithelium,lymphocyte,12,0,1,1
43,epithelium,plasma_cell,12,0,0,0
43,epithelium,histiocyte,12,1,0,-1
43,epithelium,melanophage,12,0,1,1
43,epithelium,neutrophil,12,0,0,0
43,epithelium,stroma,12,1,1,0
43,epithelium,epithelium,12,10,6,-4
43,epithelium,endothelium,12,0,0,0
43,epithelium,apoptosis,12,0,0,0
43,endothelium,tumor,12,2,1,-1
43,endothelium,lymphocyte,12,1,1,0
43,endothelium,plasma_cell,12,0,0,0
43,endothelium,histiocyte,12,1,1,0
43,endothelium,melanophage,12,1,1,0
43,endothelium,neutrophil,12,0,0,0
43,endothelium,stroma,12,2,2,0
43,endothelium,epithelium,12,0,0,0
43,endothelium,endothelium,12,5,6,1
43,endothelium,apoptosis,12,0,0,0
43,apoptosis,tumor,12,4,1,-3
43,apoptosis,lymphocyte,12,1,0,-1
43,apoptosis,plasma_cell,12,0,0,0
43,apoptosis,histiocyte,12,1,0,-1
43,apoptosis,melanophage,12,0,0,0
43,apoptosis,neutrophil,12,3,0,-3
43,apoptosis,stroma,12,1,2,1
43,apoptosis,epithelium,12,0,1,1
43,apoptosis,endothelium,12,0,0,0
43,apoptosis,apoptosis,12,2,8,6
