architecture,seed,uid,class,category,classification_delta,dice,iou,area_relative_error,correction_norm,index
A3,17,training_set_metastatic_roi_034:365,tumor,both_correct,0,0.128680479825518,0.06876456876456877,0.9312354312354313,0.46887776255607605,67
A3,17,training_set_metastatic_roi_035:17,tumor,both_correct,0,0.9574780058651027,0.9184247538677919,0.02373887240356083,0.3394405245780945,68
A3,17,training_set_metastatic_roi_035:98,tumor,both_correct,0,0.9032846715328468,0.8236272878535774,0.21414141414141413,0.15345928072929382,69
A3,17,training_set_metastatic_roi_035:273,tumor,both_correct,0,0.0,0.0,1.0,0.5198865532875061,70
A3,17,training_set_metastatic_roi_036:238,tumor,both_correct,0,0.8041462084015275,0.6724452554744526,0.32755474452554745,0.5807601809501648,71
A3,17,training_set_metastatic_roi_037:276,tumor,both_correct,0,0.8909853249475891,0.8034026465028355,0.23943661971830985,0.47213056683540344,72
A3,17,training_set_metastatic_roi_037:432,neutrophil,both_correct,0,0.9026548672566371,0.8225806451612904,0.19722222222222222,0.1812734156847,73
A3,17,training_set_metastatic_roi_039:255,apoptosis,both_correct,0,0.9741060419235512,0.9495192307692307,0.05048076923076923,0.4552667737007141,74
A3,17,training_set_metastatic_roi_040:47,tumor,both_correct,0,0.9208117787504975,0.8532448377581121,0.17199654278305965,0.08993809670209885,75
A3,17,training_set_metastatic_roi_046:335,neutrophil,both_correct,0,0.9193776520509194,0.8507853403141361,0.14435695538057744,0.10954716801643372,89
A3,17,training_set_metastatic_roi_046:426,apoptosis,A1_correct_candidate_wrong,-1,0.6924493554327809,0.5295774647887324,0.4704225352112676,0.19826212525367737,90
A3,17,training_set_metastatic_roi_047:404,stroma,both_wrong,0,0.7748878923766817,0.6325036603221084,0.29510703363914376,0.33160609006881714,91
A3,17,training_set_metastatic_roi_047:417,apoptosis,both_wrong,0,0.6905187835420393,0.5273224043715847,0.4726775956284153,0.2870742082595825,92
A3,17,training_set_metastatic_roi_047:454,plasma_cell,both_wrong,0,0.7038883349950149,0.5430769230769231,0.5652173913043478,0.04137357696890831,93
A3,17,training_set_metastatic_roi_049:32,tumor,both_wrong,0,0.9001074113856069,0.818359375,0.22195704057279236,0.12194375693798065,96
A3,17,training_set_metastatic_roi_049:229,tumor,both_correct,0,0.8873483535528596,0.7975077881619937,0.09818181818181818,0.2818787097930908,97
A3,17,training_set_metastatic_roi_051:726,tumor,both_correct,0,0.699724517906336,0.538135593220339,0.8582677165354331,0.2173757702112198,98
A3,17,training_set_metastatic_roi_053:487,apoptosis,both_wrong,0,0.7538556446637877,0.6049504950495049,0.39345887016848363,0.3479563891887665,103
A3,17,training_set_metastatic_roi_054:268,tumor,both_correct,0,0.8770571151984511,0.7810344827586206,0.2803532008830022,0.16627004742622375,104
A3,17,training_set_metastatic_roi_055:394,lymphocyte,both_wrong,0,0.9253731343283582,0.8611111111111112,0.15261044176706828,0.08773764967918396,105
