prompt,run_id,phase,epoch,split,evaluation_contract_id,class_name,roi_precision,roi_recall,roi_f1,pooled_precision,pooled_recall,pooled_f1,pooled_TP,pooled_FP,pooled_FN,source_sha256
6,p6_A_D300_s17,joint,1,dev,puma_public_track2_nuclei_class_first_greedy_dynamic_avg_2026,epithelium,0.06845238095238095,0.08035714285714286,0.07261904761904761,0.42857142857142855,0.5,0.4615384615384615,9,12,9,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,p6_A_D300_s17,joint,1,dev,puma_public_track2_nuclei_class_first_greedy_dynamic_avg_2026,endothelium,0.044642857142857144,0.05357142857142857,0.047619047619047616,0.13043478260869565,0.16666666666666666,0.14634146341463414,3,20,15,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,p6_A_D300_s17,joint,1,dev,puma_public_track2_nuclei_class_first_greedy_dynamic_avg_2026,apoptosis,0.09047619047619049,0.19642857142857142,0.11547619047619047,0.0990990990990991,0.6111111111111112,0.17054263565891473,11,100,7,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,p6_A_D300_s17,joint,2,train,puma_public_track2_nuclei_class_first_greedy_dynamic_avg_2026,tumor,0.4071038251366121,0.4016393442622951,0.3907103825136612,0.675,0.38028169014084506,0.48648648648648646,27,13,44,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,p6_A_D300_s17,joint,2,train,puma_public_track2_nuclei_class_first_greedy_dynamic_avg_2026,lymphocyte,0.133879781420765,0.16393442622950818,0.14207650273224046,0.5,0.2702702702702703,0.3508771929824562,10,10,27,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,p6_A_D300_s17,joint,2,train,puma_public_track2_nuclei_class_first_greedy_dynamic_avg_2026,plasma_cell,0.12021857923497267,0.14754098360655737,0.12295081967213115,0.4642857142857143,0.5416666666666666,0.5,13,15,11,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,p6_A_D300_s17,joint,2,train,puma_public_track2_nuclei_class_first_greedy_dynamic_avg_2026,histiocyte,0.05655737704918033,0.09836065573770492,0.06666666666666667,0.2857142857142857,0.25,0.26666666666666666,6,15,18,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,p6_A_D300_s17,joint,2,train,puma_public_track2_nuclei_class_first_greedy_dynamic_avg_2026,melanophage,0.1939890710382514,0.36065573770491804,0.23934426229508196,0.3548387096774194,0.9166666666666666,0.5116279069767442,22,40,2,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,p6_A_D300_s17,joint,2,train,puma_public_track2_nuclei_class_first_greedy_dynamic_avg_2026,neutrophil,0.10792349726775957,0.11621779859484778,0.1098360655737705,0.6451612903225806,0.8333333333333334,0.7272727272727272,20,11,4,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,p6_A_D300_s17,joint,2,train,puma_public_track2_nuclei_class_first_greedy_dynamic_avg_2026,stroma,0.06557377049180328,0.08196721311475409,0.07103825136612021,0.625,0.20833333333333334,0.3125,5,3,19,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,p6_A_D300_s17,joint,2,train,puma_public_track2_nuclei_class_first_greedy_dynamic_avg_2026,epithelium,0.12021857923497267,0.10655737704918032,0.11038251366120219,0.8,0.6666666666666666,0.7272727272727272,16,4,8,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,p6_A_D300_s17,joint,2,train,puma_public_track2_nuclei_class_first_greedy_dynamic_avg_2026,endothelium,0.23633879781420766,0.32786885245901637,0.2633879781420765,0.37037037037037035,0.8333333333333334,0.5128205128205128,20,34,4,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
