prompt,experiment_group,scenario_id,run_id,seed,fold,phase,epoch,split,class_name,support,predicted,precision,recall,f1,TP,FP,FN,dominant_confusion
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,1,dev,apoptosis,18,111,0.0990990990990991,0.6111111111111112,0.17054263565891473,11,100,7,"[[""histiocyte"",3],[""epithelium"",2],[""stroma"",1],[""endothelium"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,2,train,tumor,71,40,0.675,0.38028169014084506,0.4864864864864865,27,13,44,"[[""melanophage"",15],[""endothelium"",6],[""apoptosis"",6],[""plasma_cell"",5],[""neutrophil"",4],[""epithelium"",3],[""lymphocyte"",2],[""histiocyte"",2],[""stroma"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,2,train,lymphocyte,37,20,0.5,0.2702702702702703,0.3508771929824561,10,10,27,"[[""endothelium"",8],[""melanophage"",6],[""plasma_cell"",5],[""tumor"",3],[""histiocyte"",3],[""neutrophil"",1],[""stroma"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,2,train,plasma_cell,24,28,0.4642857142857143,0.5416666666666666,0.5,13,15,11,"[[""endothelium"",4],[""lymphocyte"",3],[""histiocyte"",3],[""melanophage"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,2,train,histiocyte,24,21,0.2857142857142857,0.25,0.26666666666666666,6,15,18,"[[""endothelium"",8],[""melanophage"",4],[""lymphocyte"",3],[""plasma_cell"",1],[""neutrophil"",1],[""apoptosis"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,2,train,melanophage,24,62,0.3548387096774194,0.9166666666666666,0.5116279069767442,22,40,2,"[[""endothelium"",1],[""apoptosis"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,2,train,neutrophil,24,31,0.6451612903225806,0.8333333333333334,0.7272727272727273,20,11,4,"[[""histiocyte"",2],[""plasma_cell"",1],[""endothelium"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,2,train,stroma,24,8,0.625,0.20833333333333334,0.3125,5,3,19,"[[""melanophage"",8],[""tumor"",3],[""histiocyte"",3],[""endothelium"",3],[""lymphocyte"",1],[""neutrophil"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,2,train,epithelium,24,20,0.8,0.6666666666666666,0.7272727272727273,16,4,8,"[[""tumor"",3],[""melanophage"",3],[""endothelium"",1],[""apoptosis"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,2,train,endothelium,24,54,0.37037037037037035,0.8333333333333334,0.5128205128205128,20,34,4,"[[""lymphocyte"",1],[""plasma_cell"",1],[""histiocyte"",1],[""melanophage"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,2,train,apoptosis,24,16,0.4375,0.2916666666666667,0.35,7,9,17,"[[""tumor"",4],[""neutrophil"",4],[""plasma_cell"",2],[""melanophage"",2],[""endothelium"",2],[""histiocyte"",1],[""stroma"",1],[""epithelium"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,2,dev,tumor,58,27,0.5925925925925926,0.27586206896551724,0.3764705882352941,16,11,42,"[[""melanophage"",13],[""endothelium"",11],[""histiocyte"",5],[""apoptosis"",5],[""plasma_cell"",3],[""neutrophil"",3],[""epithelium"",2]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,2,dev,lymphocyte,23,5,0.2,0.043478260869565216,0.07142857142857142,1,4,22,"[[""endothelium"",9],[""plasma_cell"",4],[""histiocyte"",3],[""melanophage"",2],[""tumor"",1],[""neutrophil"",1],[""stroma"",1],[""epithelium"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,2,dev,plasma_cell,18,18,0.2777777777777778,0.2777777777777778,0.2777777777777778,5,13,13,"[[""endothelium"",4],[""melanophage"",3],[""neutrophil"",3],[""tumor"",1],[""histiocyte"",1],[""stroma"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,2,dev,histiocyte,18,14,0.07142857142857142,0.05555555555555555,0.0625,1,13,17,"[[""endothelium"",7],[""melanophage"",4],[""plasma_cell"",2],[""tumor"",1],[""lymphocyte"",1],[""neutrophil"",1],[""stroma"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,2,dev,melanophage,18,46,0.30434782608695654,0.7777777777777778,0.4375,14,32,4,"[[""endothelium"",3],[""apoptosis"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,2,dev,neutrophil,18,22,0.36363636363636365,0.4444444444444444,0.4,8,14,10,"[[""endothelium"",4],[""melanophage"",2],[""apoptosis"",2],[""histiocyte"",1],[""stroma"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,2,dev,stroma,18,11,0.2727272727272727,0.16666666666666666,0.20689655172413793,3,8,15,"[[""plasma_cell"",3],[""melanophage"",3],[""endothelium"",3],[""tumor"",2],[""neutrophil"",2],[""lymphocyte"",1],[""apoptosis"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,2,dev,epithelium,18,14,0.7142857142857143,0.5555555555555556,0.625,10,4,8,"[[""tumor"",2],[""stroma"",2],[""endothelium"",2],[""apoptosis"",2]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,2,dev,endothelium,18,57,0.17543859649122806,0.5555555555555556,0.26666666666666666,10,47,8,"[[""melanophage"",3],[""histiocyte"",2],[""tumor"",1],[""plasma_cell"",1],[""epithelium"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,2,dev,apoptosis,18,11,0.0,0.0,0.0,0,11,18,"[[""neutrophil"",4],[""endothelium"",4],[""tumor"",3],[""lymphocyte"",2],[""melanophage"",2],[""stroma"",2],[""histiocyte"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,3,train,tumor,71,46,0.8043478260869565,0.5211267605633803,0.6324786324786325,37,9,34,"[[""epithelium"",8],[""lymphocyte"",7],[""melanophage"",4],[""neutrophil"",4],[""plasma_cell"",3],[""histiocyte"",3],[""stroma"",3],[""endothelium"",2]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,3,train,lymphocyte,37,62,0.41935483870967744,0.7027027027027027,0.5252525252525253,26,36,11,"[[""melanophage"",4],[""stroma"",2],[""endothelium"",2],[""plasma_cell"",1],[""neutrophil"",1],[""epithelium"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,3,train,plasma_cell,24,17,0.7058823529411765,0.5,0.5853658536585366,12,5,12,"[[""lymphocyte"",5],[""histiocyte"",3],[""stroma"",2],[""melanophage"",1],[""endothelium"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,3,train,histiocyte,24,21,0.47619047619047616,0.4166666666666667,0.4444444444444444,10,11,14,"[[""lymphocyte"",9],[""melanophage"",2],[""neutrophil"",1],[""stroma"",1],[""epithelium"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,3,train,melanophage,24,33,0.5757575757575758,0.7916666666666666,0.6666666666666666,19,14,5,"[[""histiocyte"",2],[""epithelium"",2],[""lymphocyte"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,3,train,neutrophil,24,30,0.7,0.875,0.7777777777777778,21,9,3,"[[""histiocyte"",2],[""lymphocyte"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,3,train,stroma,24,28,0.4642857142857143,0.5416666666666666,0.5,13,15,11,"[[""lymphocyte"",5],[""melanophage"",3],[""tumor"",1],[""neutrophil"",1],[""epithelium"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,3,train,epithelium,24,36,0.5833333333333334,0.875,0.7,21,15,3,"[[""tumor"",2],[""lymphocyte"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,3,train,endothelium,24,24,0.75,0.75,0.75,18,6,6,"[[""lymphocyte"",3],[""tumor"",1],[""plasma_cell"",1],[""histiocyte"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,3,train,apoptosis,24,3,1.0,0.125,0.2222222222222222,3,0,21,"[[""stroma"",7],[""tumor"",5],[""lymphocyte"",4],[""neutrophil"",2],[""epithelium"",2],[""endothelium"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,3,dev,tumor,58,31,0.5806451612903226,0.3103448275862069,0.4044943820224719,18,13,40,"[[""lymphocyte"",10],[""melanophage"",8],[""histiocyte"",6],[""stroma"",5],[""epithelium"",5],[""plasma_cell"",4],[""neutrophil"",2]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,3,dev,lymphocyte,23,50,0.26,0.5652173913043478,0.3561643835616438,13,37,10,"[[""histiocyte"",3],[""melanophage"",2],[""stroma"",2],[""tumor"",1],[""plasma_cell"",1],[""epithelium"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,3,dev,plasma_cell,18,12,0.08333333333333333,0.05555555555555555,0.06666666666666667,1,11,17,"[[""lymphocyte"",9],[""melanophage"",3],[""neutrophil"",3],[""stroma"",2]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,3,dev,histiocyte,18,17,0.17647058823529413,0.16666666666666666,0.17142857142857143,3,14,15,"[[""lymphocyte"",4],[""plasma_cell"",3],[""melanophage"",3],[""stroma"",3],[""tumor"",1],[""endothelium"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,3,dev,melanophage,18,30,0.36666666666666664,0.6111111111111112,0.4583333333333333,11,19,7,"[[""stroma"",3],[""tumor"",1],[""lymphocyte"",1],[""histiocyte"",1],[""endothelium"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,3,dev,neutrophil,18,19,0.47368421052631576,0.5,0.4864864864864865,9,10,9,"[[""lymphocyte"",2],[""stroma"",2],[""endothelium"",2],[""tumor"",1],[""epithelium"",1],[""apoptosis"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,3,dev,stroma,18,31,0.1935483870967742,0.3333333333333333,0.24489795918367346,6,25,12,"[[""lymphocyte"",5],[""tumor"",2],[""plasma_cell"",2],[""neutrophil"",2],[""epithelium"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,3,dev,epithelium,18,24,0.5833333333333334,0.7777777777777778,0.6666666666666666,14,10,4,"[[""tumor"",2],[""stroma"",2]]"
