split,class,support,predicted,precision,recall,f1
confirmation,tumor,59,48,0.7708333333333334,0.6271186440677966,0.6915887850467289
confirmation,lymphocyte,22,25,0.44,0.5,0.46808510638297873
confirmation,plasma_cell,18,13,0.7692307692307693,0.5555555555555556,0.6451612903225806
confirmation,histiocyte,18,23,0.34782608695652173,0.4444444444444444,0.3902439024390244
confirmation,melanophage,18,21,0.8095238095238095,0.9444444444444444,0.8717948717948718
confirmation,neutrophil,18,12,0.9166666666666666,0.6111111111111112,0.7333333333333333
confirmation,stroma,18,15,0.4666666666666667,0.3888888888888889,0.42424242424242425
confirmation,epithelium,18,19,0.47368421052631576,0.5,0.4864864864864865
confirmation,endothelium,18,16,0.5,0.4444444444444444,0.47058823529411764
confirmation,apoptosis,18,33,0.42424242424242425,0.7777777777777778,0.5490196078431373
locked_natural,tumor,8817,4550,0.989010989010989,0.5103776794828173,0.6732999177077879
locked_natural,lymphocyte,1177,1540,0.5298701298701298,0.6932880203908242,0.6006624953993375
locked_natural,plasma_cell,8,378,0.010582010582010581,0.5,0.02072538860103627
locked_natural,histiocyte,231,1436,0.09401114206128133,0.5844155844155844,0.16196760647870426
locked_natural,melanophage,11,200,0.035,0.6363636363636364,0.06635071090047394
locked_natural,neutrophil,0,47,0.0,0.0,0.0
locked_natural,stroma,278,615,0.183739837398374,0.4064748201438849,0.2530795072788354
locked_natural,epithelium,0,517,0.0,0.0,0.0
locked_natural,endothelium,129,501,0.14770459081836326,0.5736434108527132,0.23492063492063492
locked_natural,apoptosis,61,928,0.04418103448275862,0.6721311475409836,0.08291203235591507
