run_id,seed,representation,tier_a,adaptation,epochs_run,score,config_sha256,checkpoint_sha256
p6_C_cached_crt_reset_s29,29,cls,True,frozen,10,0.13835034013605443,a316730ed8af1b66f96bc0c74bffff825f1d3a456fbc7f55a6bb798ab496cc47,5ae022e9e81b0872cf8743f4dc0597cee2e7d272454d85b8cb32fcc65806cc63
p6_C_cached_crt_reset_s43,43,cls,True,frozen,10,0.1389965986394558,bc2866539e73b59f61d9994ced09203672e22f66a9fe4561e248734eac4b6209,98e7bbd869388eef0120ba9d3a9baa6d6ac136cedbdda76cece33a39c5353131
p6_C_cached_natural_s17,17,cls,True,frozen,10,0.1459608843537415,a81cfae9668291587ca45196c38f057dfcd540a5032563d9e52a6f4356173a46,7a955cf58e850c700c660ec7cf184535969159be5fecdb04db5d47b522ce3fe3
p6_C_cached_natural_s29,29,cls,True,frozen,10,0.1359013605442177,e33c5a496849250c1a840f7978af803caad6acbce4b4f8416b758de38fc5f041,b52290438b0369ace93b502ed898202d257cf722d8b63eb488941b13d1f87e32
p6_C_cached_natural_s43,43,cls,True,frozen,10,0.1321513605442177,1393f197a88e9051d12b875772ea4d8ed962c10d2b30fc9a43adcfc98acfc514,ee63fe699013b6e6edf607db9e2feef0ec125655ed6e887025dea31461d55d2a
p6_C_cached_tempered_s17,17,cls,True,frozen,10,0.13411564625850342,f8804bbdd2ab195e3fca50dadfd231780caabe0fb9cc39e09d78c188e620e1f6,d27d72e1619b29ff27f31bffc929bc4d1a2a83435c18a96ce0c4a40a573a18be
p6_C_cached_tempered_s29,29,cls,True,frozen,10,0.14857993197278913,acbd744ae3ed9df28be718c7eeb34d6ac6bea286b706260a4aa56eb408ef1757,2e63ac99f12d9bdda0542dbebf3d4fde40ee521953a54f249bf172ed0d38abb4
p6_C_cached_tempered_s43,43,cls,True,frozen,10,0.13738945578231293,51b580bc33f2ea4849f33a586432f633dc97734ebf8dd27b54c82006443581b0,c01233871b0a3f23c71ef6560bd7d9f04a0c6a359df5738cc734d114c7a540c5
p6_D_DEV_finalist_01,17,cls,True,frozen,9,0.15108843537414968,4bcaf1a98b376c69166617e1549114c1aae7915290bfbab7d8cc54378e7903fb,10ec813b31b9c715e6112bfb16560116991af61d3b361462b75af76e4b73b915
p6_D_control_cv0,17,cls,True,frozen,19,0.2433692257635312,6e5effcfb2cd52aa6754ca2a9557e9f187110efe4de1fb2fae11e65ec1dc576d,253ba477856a0f3927ad2611d6f779998775b6b459bce2a2a8f129c92915100b
p6_D_control_cv1,17,cls,True,frozen,11,0.26309902086217873,b0558b870b2ae2ed4f823792f0b2db1a9452116bc6623a3b6ce2373c53ea660a,ffa30379c1dfc33e86b0195fe3fa439966f9758522457844fafd89db1e24338c
p6_D_control_cv2,17,cls,True,frozen,10,0.21766535396970177,2104d73863a96574c3174d6ee56005d5a0b95d13fc16f109335b7160631ec82a,463ee310ed39ccdfc0c754c15db4ded08d81e5ed99a226a3884482f56980ed0e
p6_D_control_optimizer_hpo_000_cv0,17,cls,True,frozen,20,0.16774827372130924,a50f7894fb02f3bfbd8c04a212513bc1bb39ec62f6a853086d5521c74c798a88,85a80c99246f46a9159762a708a144628f5b9fd23e576d762acd20aa461a0d9d
p6_D_control_optimizer_hpo_000_cv1,17,cls,True,frozen,20,0.1813731536409555,aacfe8443565d4c74eff0a6d03f2105ef6d19a0b8b32be2f6d2df9af0345e030,72911ed79de834e136690da5aa9fabeebd5b80139e2a6935b9b75ee9306685db
p6_D_control_optimizer_hpo_000_cv2,17,cls,True,frozen,20,0.16914672284237503,6f0beff7cce55d1e6078418fbf5d2380dcc2c82d018c9ab5a9d296374b9545dc,dc7943a66d40c7b0d122c78655f1b77330cb6719a2457adc61c07fcbe42b5e1e
p6_D_control_optimizer_hpo_001_cv0,17,cls,True,frozen,12,0.23499854312354312,9be6442969e0bbffe3860f57ef7b91c8ddd41a2215cdbe8712606b9808d5486b,4cdea3cc4b7159efb6e4a73df23e9ca186984c8e770a8180a577b9d58b1135d4
p6_D_control_optimizer_hpo_001_cv1,17,cls,True,frozen,10,0.26078779837293775,ccea3c5885468b177838ade5219e748495a7551d3ae88c5c2d93ffa4237d39f4,8bb6021886fd5260841d46ad412f2046db46b502427da230e87bdc0f22a0f1e4
p6_D_control_optimizer_hpo_001_cv2,17,cls,True,frozen,14,0.23328051175877262,7f2b1e0c5b9cd427202c47382bcf3c0d44ff73badb48820aa6001e1287c22253,26f6092d4c39fb8d7b1ddd9cb791dc579d78728d873be09f37e9390b60ab72b3
p6_D_control_optimizer_hpo_002_cv0,17,cls,True,frozen,20,0.14742810974805434,749e8da64fb6bcdf656c0a57df28ae273c521e324c89a597cd8c292e9ab932c8,a76e1f8e235cb1cdce4a61fb523ffe4fe1806041aee06e051acb6b667c4547ad
p6_D_control_optimizer_hpo_002_cv1,17,cls,True,frozen,19,0.15737652935021357,76deb1b2f678b2d0af8f1ec9647ef07a993d4c19ba61a8f95dcc3c8868f281f5,f510cabc45c2a4ebfef4a8d938010e1a76c6d9406471a9347e6695e3a8dffc18
p6_D_control_optimizer_hpo_002_cv2,17,cls,True,frozen,20,0.1462771045379741,2ff4520a23a8bc7f16b55cf7d19dc443e9b038ddd157835415385388dbdc35e7,2d39399f4c0236e671c27cd72f054a81c4366a0d07cf0bce942d45cd13c0f2d2
p6_D_control_optimizer_hpo_003_cv0,17,cls,True,frozen,20,0.21009146381415458,93be5834b4520fa7c7d71510923138a1b4c1b85a4102e39841198594d272ba17,da9b6e285d1164399d6b642148724b32d498cfe7f6bb9fedd852602d2e494f58
p6_D_control_optimizer_hpo_003_cv1,17,cls,True,frozen,20,0.2315292241298433,c7d60257ffe70ff603c0e36c1e1b01db100b825c5dbfb25ce20cd10d87df5214,80974f88737c37600861b8da6ef6711f257ab9940ae726bca30bac82a6874b50
p6_D_control_optimizer_hpo_003_cv2,17,cls,True,frozen,20,0.21722692766171026,2e599977facce34cf38e504e9c8026475a48a48167bd5708b0945e2aa4b629ca,683f3b1de1b7e1b455be013eb85819b7b7f9ab2a08d0c23f9d288d43c9644aee
p6_D_control_optimizer_hpo_004_cv0,17,cls,True,frozen,20,0.18140776225070498,44def2fb9976301ba8934753601242a5c044bb6752ccc6064f033b6c16a5b53c,67b6e8dbd8fef014c51318426da6392e018d6befa9ed6da4a42e3d34dd7c43ed
p6_D_control_optimizer_hpo_004_cv1,17,cls,True,frozen,20,0.19314134939331087,d6ae7683aada89b2fa2dfd24bf5683d6e1e44e27c3ed84f5a5c1b89c1814dd67,7a4207454c0f07a2de651420b54adb29b0391a69443ca851ebcf6343ba4300c6
p6_D_control_optimizer_hpo_004_cv2,17,cls,True,frozen,20,0.18656095112616852,452a46f2db174e8c69f3204cadad61616e0efa6875c80954c5b7db248621ca33,8190e08bc2cda7550f35f424aa3748d6a85d78fe232278fbd085bcd0ee8afeb8
p6_D_control_optimizer_hpo_005_cv0,17,cls,True,frozen,17,0.23870903090717333,9a3c5276c3614f60505b2b38c20f461e422fa6698cc8cf7ffbc7e85842522c86,9c04ee8379c2178327a6627bcad3b79bc614ed7a5a359186093edd29c63ab8cc
p6_D_control_optimizer_hpo_005_cv1,17,cls,True,frozen,20,0.2613150365389171,9ed42bc25a93dc46c0b0ab0edfd63ec1da77b9a8209f8dab635308f6f013799e,f33b9a0338ab3885f5fa14bea7f2853dcec97c3f06af101df497428c6c9021f4
p6_D_control_optimizer_hpo_005_cv2,17,cls,True,frozen,20,0.2390453025235634,fab797854993340a9781476bab7560ac9adec1b7957ccbe789e8904e7cb08822,651fa9376cfdaef8fb50f6da32316eba90c6fcf4bca8908454fbf36ec38382aa
p6_D_control_optimizer_hpo_006_cv0,17,cls,True,frozen,12,0.23347328110486001,5e35930ae64aa61c607f3e4e74687f55052de061fa6ff921d871d586c1147302,4483bda28cb3b21c3a8c469a64823ded6725900370d1565c248841753e680c37
p6_D_control_optimizer_hpo_006_cv1,17,cls,True,frozen,9,0.27553442171863224,5c437dcd607686d460cef8b5e97a23aea0d279f38cf8c84acf054d4c9c1ae785,f4c8337873f6cd77bd1ea40cf8166a344fc391bf56e6c81d9ff5110c2e16ebc5
p6_D_control_optimizer_hpo_006_cv2,17,cls,True,frozen,20,0.23840705188531275,e8ef5f304a36e689c9c6a66fe904a7a9c6cf69cba8fd71af260fb0abc7ca1757,b94c881ee6585d20b0e567421cd38fb59573b7cee5994d15ef44af8ccc48fbc2
p6_D_control_optimizer_hpo_007_cv0,17,cls,True,frozen,20,0.2612326787841662,383df6e714f79d7cd32919539cb58baa951e62fbf65d14e836483d4f171fce81,8357647dbc177ac99dca4c780a3691010f40077e67680588cc7288a143d1af80
p6_D_control_optimizer_hpo_007_cv1,17,cls,True,frozen,15,0.2613589548271402,89c0b43399f9f4b17847347961e26432afe842ab6ba32b08396c7659c896244d,1bd0ac353cb3c25cee25edb78842a52d0264f8d678aff4ecc4ba44c0eb41b2da
p6_D_control_optimizer_hpo_007_cv2,17,cls,True,frozen,19,0.23628477802390843,86b0dc97037a265bbc5277ccd49d04098649bed1aa1feffc798fe644c3103c15,7040d0518963c9ce120f5de01ea766743e379084155a56040e2590c7f796aec9
p6_D_control_optimizer_hpo_008_cv0,17,cls,True,frozen,12,0.23459105922913195,c3c1cc292e2ce8c2afed9cf7b9bde302d1c1d358fa0028b97c880814d1fcf273,8b81b65f39d8243e5f59660a410708ef60f19da67fe9337c72eaa9fda126063e
p6_D_control_optimizer_hpo_008_cv1,17,cls,True,frozen,9,0.2697511910277032,01382f18671e9717ed14a010d4f5734606a27cf8adea7a63280478315b166ec7,d366bff53c2e7b8a0e3c30933d801aa943d3047e96ee24b94871b4e86282fbf0
p6_D_control_optimizer_hpo_008_cv2,17,cls,True,frozen,10,0.23130046282220196,b5668544294a134392ded90280942c4e690a93617a8f5b9433cae7aab298c539,db564aeca05d04182fe8e54285311ec1b93d9b8106cb313d94235f868b435372
p6_D_control_optimizer_hpo_009_cv0,17,cls,True,frozen,16,0.23605704852242249,5c88fbec2e8cab8b9dff79b6873f45d431d2854514ef8edd5b9fe5a46c2c794f,9e54545ff4cf9d73f86ae15346b51cf42f22bb06ecd3fdea946c8dc8ae20e052
