prompt,experiment_group,scenario_id,run_id,seed,fold,phase,epoch,split,objective,nll,macro_precision,macro_recall,macro_f1,balanced_accuracy_fixed10,accuracy,ece15,roi_macro_precision,roi_macro_recall,roi_macro_f1,pooled_macro_f1,lr,grad_norm_mean,draws,unique_nuclei,unique_groups,repeat_fraction,best_so_far,minimum_delta_pass,patience_counter,selected,checkpoint_saved,source_sha256
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,1,train,2.2898638407389322,1.959621787071228,0.4793366673735303,0.3372256058875778,0.3068760655671488,0.3372256058875778,0.2966666666666667,0.06162111734350522,0.0851912568306011,0.11401249024199844,0.09057767369242778,0.3068760655671488,[0.001],6.717315769195556,300,171,56,0.43000000000000005,0.039464285714285716,True,0,False,True,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,1,dev,NOT APPLICABLE,2.2116832733154297,0.28755656277395414,0.18436615025820424,0.1453857676178705,0.18436615025820424,0.15555555555555556,0.08846265700128343,0.036041666666666666,0.05267857142857143,0.039464285714285716,0.14485945182839682,[0.001],6.717315769195556,300,171,56,0.43000000000000005,0.039464285714285716,True,0,False,True,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,2,train,1.6674935658772787,1.5124043226242065,0.515787037037037,0.5192218627077783,0.47455242204783205,0.5192218627077783,0.4866666666666667,0.15073666254679363,0.15360655737704917,0.19194964871194378,0.16158469945355192,0.47455242204783205,[0.001],5.603134346008301,300,183,53,0.39,0.08431547619047619,True,0,False,True,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,2,dev,NOT APPLICABLE,1.9528546333312988,0.2972234715026477,0.3152673663168416,0.2724240155832448,0.3152673663168416,0.3022222222222222,0.0974352063073052,0.07814200680272107,0.10178571428571428,0.08431547619047619,0.27144840582714724,[0.001],5.603134346008301,300,183,53,0.39,0.08431547619047619,True,0,False,True,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,3,train,1.3036589686075846,1.2543994188308716,0.647915211730491,0.6098829463266082,0.5804208122500806,0.6098829463266082,0.6,0.17405120059847834,0.19969735182849938,0.23914910226385638,0.21008587041373925,0.5804208122500806,[0.001],4.733835363388062,300,190,57,0.3666666666666667,0.10642006802721087,True,0,False,True,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,3,dev,NOT APPLICABLE,1.8677546977996826,0.321768168048204,0.3597784441112777,0.3212281306492371,0.3597784441112777,0.35555555555555557,0.05807134721014236,0.10193452380952381,0.121875,0.10642006802721087,0.31994790305321996,[0.001],4.733835363388062,300,190,57,0.3666666666666667,0.10642006802721087,True,0,False,True,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,4,train,1.1436748123168945,1.0007182359695435,0.730803829413176,0.7008882121558176,0.6858001573356506,0.7008882121558176,0.7066666666666667,0.19126406381527583,0.24390500210172342,0.28009367681498826,0.25431573890590287,0.6858001573356506,[0.001],4.563345861434937,300,183,57,0.39,0.1217687074829932,True,0,False,True,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,4,dev,NOT APPLICABLE,1.7151414155960083,0.38012705378594125,0.39882558720639677,0.3765068372656356,0.39882558720639677,0.4177777777777778,0.08240996625688342,0.1175297619047619,0.13913690476190477,0.1217687074829932,0.3751131090426391,[0.001],4.563345861434937,300,183,57,0.39,0.1217687074829932,True,0,False,True,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,5,train,1.0070397059122722,0.8538802266120911,0.7799493748853823,0.757303958888466,0.7491069288306752,0.757303958888466,0.75,0.18190590674678483,0.2775500910746812,0.30601092896174864,0.28457179593148735,0.7491069288306752,[0.001],4.725024223327637,300,185,56,0.3833333333333333,0.12951530612244896,True,0,False,True,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,5,dev,NOT APPLICABLE,1.7423673868179321,0.45752202072727854,0.410528069298684,0.3911597746598895,0.410528069298684,0.4177777777777778,0.11502918673886194,0.12464285714285717,0.14880952380952378,0.12951530612244896,0.38973374970445274,[0.001],4.725024223327637,300,185,56,0.3833333333333333,0.12951530612244896,True,0,False,True,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
